Date,Comp,Venue,Result,GF,GA,Opponent,Attendance
2019-08-04,Community Shield,Neutral,L,1 (4),1 (5),Manchester City,77565
2019-08-09,Premier League,Home,W,4,1,Norwich City,53333
2019-08-14,Super Cup,Home,W,2 (5),2 (4),eng Chelsea,38434
2019-08-17,Premier League,Away,W,2,1,Southampton,31712
2019-08-24,Premier League,Home,W,3,1,Arsenal,53298
2019-08-31,Premier League,Away,W,3,0,Burnley,21762
2019-09-14,Premier League,Home,W,3,1,Newcastle Utd,51430
2019-09-17,Champions Lg,Away,L,0,2,it Napoli,38878
2019-09-22,Premier League,Away,W,2,1,Chelsea,40638
2019-09-25,EFL Cup,Away,W,2,0,MK Dons,28521
2019-09-28,Premier League,Away,W,1,0,Sheffield Utd,31774
2019-10-02,Champions Lg,Home,W,4,3,at RB Salzburg,52243
2019-10-05,Premier League,Home,W,2,1,Leicester City,53322
2019-10-20,Premier League,Away,D,1,1,Manchester Utd,73737
2019-10-23,Champions Lg,Away,W,4,1,be Genk,19626
2019-10-27,Premier League,Home,W,2,1,Tottenham,53222
2019-10-30,EFL Cup,Home,W,5 (5),5 (4),Arsenal,52694
2019-11-02,Premier League,Away,W,2,1,Aston Villa,41878
2019-11-05,Champions Lg,Home,W,2,1,be Genk,52611
2019-11-10,Premier League,Home,W,3,1,Manchester City,53324
2019-11-23,Premier League,Away,W,2,1,Crystal Palace,25486
2019-11-27,Champions Lg,Home,D,1,1,it Napoli,52128
2019-11-30,Premier League,Home,W,2,1,Brighton,53319
2019-12-04,Premier League,Home,W,5,2,Everton,53094
2019-12-07,Premier League,Away,W,3,0,Bournemouth,10832
2019-12-10,Champions Lg,Away,W,2,0,at RB Salzburg,29520
2019-12-14,Premier League,Home,W,2,0,Watford,53311
2019-12-17,EFL Cup,Away,L,0,5,Aston Villa,30323
2019-12-26,Premier League,Away,W,4,0,Leicester City,32211
2019-12-29,Premier League,Home,W,1,0,Wolves,53326
2020-01-02,Premier League,Home,W,2,0,Sheffield Utd,53321
2020-01-05,FA Cup,Home,W,1,0,Everton,52583
2020-01-11,Premier League,Away,W,1,0,Tottenham,61023
2020-01-19,Premier League,Home,W,2,0,Manchester Utd,52916
2020-01-23,Premier League,Away,W,2,1,Wolves,31746
2020-01-26,FA Cup,Away,D,2,2,Shrewsbury,9510
2020-01-29,Premier League,Away,W,2,0,West Ham,59959
2020-02-01,Premier League,Home,W,4,0,Southampton,53291
2020-02-04,FA Cup,Home,W,1,0,Shrewsbury,52399
2020-02-15,Premier League,Away,W,1,0,Norwich City,27110
2020-02-18,Champions Lg,Away,L,0,1,es Atlético Madrid,67443
2020-02-24,Premier League,Home,W,3,2,West Ham,53313
2020-02-29,Premier League,Away,L,0,3,Watford,21634
2020-03-03,FA Cup,Away,L,0,2,Chelsea,40103
2020-03-07,Premier League,Home,W,2,1,Bournemouth,53323
2020-03-11,Champions Lg,Home,L,2,3,es Atlético Madrid,52267
2020-06-21,Premier League,Away,D,0,0,Everton,
2020-06-24,Premier League,Home,W,4,0,Crystal Palace,
2020-07-02,Premier League,Away,L,0,4,Manchester City,
2020-07-05,Premier League,Home,W,2,0,Aston Villa,
2020-07-08,Premier League,Away,W,3,1,Brighton,
2020-07-11,Premier League,Home,D,1,1,Burnley,
2020-07-15,Premier League,Away,L,1,2,Arsenal,
2020-07-22,Premier League,Home,W,5,3,Chelsea,
2020-07-26,Premier League,Away,W,3,1,Newcastle Utd,
