Saison,Joueur,Equipe,Prix
2014/2015,Adam Lallana,Southampton,Ä31.00m
2014/2015,Dejan Lovren,Southampton,Ä25.30m
2014/2015,Lazar Markovic,Benfica,Ä25.00m
2014/2015,Mario Balotelli,AC Milan,Ä20.00m
2014/2015,Alberto Moreno,Sevilla FC,Ä18.00m
2014/2015,Divock Origi,LOSC Lille,Ä12.63m
2014/2015,Emre Can,Bay. Leverkusen,Ä12.00m
2014/2015,Rickie Lambert,Southampton,Ä5.50m
"2014/2015,Javier Manquillo,Atletico Madrid,""Loan fee:Ä2.00m"""
2014/2015,Lawrence Vigouroux,Tottenham U21,Free transfer
2014/2015,Kevin Stewart,Spurs,Free transfer
2014/2015,Rafa P√°ez,Liverpool U23,-
2014/2015,Rafa P√°ez,Bologna,End of loan
2014/2015,Jordon Ibe,Derby,End of loan
2014/2015,Danny Ward,Morecambe FC,End of loan
2014/2015,Kevin Stewart,Cheltenham,End of loan
2014/2015,Sebasti√°n Coates,Sunderland,End of loan
2014/2015,Andre Wisdom,West Brom,End of loan
2014/2015,Kevin Stewart,Burton Albion,End of loan
2014/2015,Oussama Assaidi,Stoke City,End of loan
