Pour LiverpoolContre Liverpool;;;;;;;;;;Total;;;;;Court;;;Moyen;;;Long;;;;;;;;;;
Date;Heure;Comp;Tour;Jour;Tribune;R̩sultat;BM;BE;Adversaire;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xA;PC;01-mars;PPA;CntSR;Prog;Rapport de match
12/08/2018;13:30 (14:30);Premier League;Journ̩e 1;Dim;Domicile;V;4;0;West Ham;611;698;87.5;12150;4447;215;239;90.0;318;351;90.6;77;104;74.0;3;2.8;10;62;19;2;76;Rapport de match
20/08/2018;20:00 (21:00);Premier League;Journ̩e 2;Lun;Ext̩rieur;V;2;0;Crystal Palace;562;650;86.5;12186;3605;180;203;88.7;276;304;90.8;105;135;77.8;1;1.4;11;61;14;2;49;Rapport de match
25/08/2018;17:30 (18:30);Premier League;Journ̩e 3;Sam;Domicile;V;1;0;Brighton;669;785;85.2;12226;3742;301;341;88.3;292;327;89.3;71;104;68.3;1;1.3;19;65;19;3;68;Rapport de match
01/09/2018;12:30 (13:30);Premier League;Journ̩e 4;Sam;Ext̩rieur;V;2;1;Leicester City;385;492;78.3;7172;2265;178;203;87.7;152;183;83.1;52;97;53.6;2;0.6;8;29;4;0;26;Rapport de match
15/09/2018;12:30 (13:30);Premier League;Journ̩e 5;Sam;Ext̩rieur;V;2;1;Tottenham;295;395;74.7;6062;2494;108;135;80.0;126;150;84.0;55;100;55.0;0;1.2;12;20;6;0;39;Rapport de match
18/09/2018;20:00 (21:00);Champions Lg;Phase de groupe;Mar;Domicile;V;3;2;fr Paris S-G;445;547;81.4;9691;2896;140;161;87.0;221;248;89.1;83;123;67.5;2;0.9;12;49;16;5;52;Rapport de match
22/09/2018;15:00 (16:00);Premier League;Journ̩e 6;Sam;Domicile;V;3;0;Southampton;673;787;85.5;13646;4011;218;253;86.2;351;390;90.0;101;138;73.2;1;1.1;6;60;13;1;55;Rapport de match
26/09/2018;19:45 (20:45);EFL Cup;Troisi̬me tour;Mer;Domicile;D;1;2;Chelsea;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
29/09/2018;17:30 (18:30);Premier League;Journ̩e 7;Sam;Ext̩rieur;N;1;1;Chelsea;553;674;82.0;12099;3440;156;176;88.6;292;330;88.5;104;156;66.7;1;1.1;10;63;12;5;56;Rapport de match
03/10/2018;21:00;Champions Lg;Phase de groupe;Mer;Ext̩rieur;D;0;1;it Napoli;438;556;78.8;8056;2903;184;212;86.8;201;235;85.5;50;97;51.5;0;0.0;1;19;7;0;31;Rapport de match
07/10/2018;16:30 (17:30);Premier League;Journ̩e 8;Dim;Domicile;N;0;0;Manchester City;448;549;81.6;9536;2971;141;157;89.8;225;260;86.5;80;123;65.0;0;0.5;6;33;8;2;36;Rapport de match
20/10/2018;17:30 (18:30);Premier League;Journ̩e 9;Sam;Ext̩rieur;V;1;0;Huddersfield;508;632;80.4;9693;3632;205;233;88.0;231;268;86.2;61;108;56.5;1;0.7;9;30;13;1;53;Rapport de match
24/10/2018;20:00 (21:00);Champions Lg;Phase de groupe;Mer;Domicile;V;4;0;rs Red Star;568;699;81.3;10579;3679;235;272;86.4;261;303;86.1;68;106;64.2;3;1.9;16;49;23;5;70;Rapport de match
27/10/2018;15:00 (16:00);Premier League;Journ̩e 10;Sam;Domicile;V;4;1;Cardiff City;770;879;87.6;13916;4387;358;390;91.8;310;347;89.3;91;120;75.8;2;1.5;14;56;22;3;64;Rapport de match
03/11/2018;17:30 (18:30);Premier League;Journ̩e 11;Sam;Ext̩rieur;N;1;1;Arsenal;304;397;76.6;6498;2468;114;131;87.0;122;151;80.8;66;107;61.7;0;1.1;12;17;10;2;19;Rapport de match
06/11/2018;18:55;Champions Lg;Phase de groupe;Mar;Ext̩rieur;D;0;2;rs Red Star;542;669;81.0;11234;3436;183;218;83.9;268;299;89.6;89;136;65.4;0;0.9;11;44;21;6;54;Rapport de match
11/11/2018;12:00 (13:00);Premier League;Journ̩e 12;Dim;Domicile;V;2;0;Fulham;673;780;86.3;13167;4097;259;286;90.6;312;342;91.2;96;137;70.1;2;1.8;14;62;16;4;61;Rapport de match
24/11/2018;15:00 (16:00);Premier League;Journ̩e 13;Sam;Ext̩rieur;V;3;0;Watford;558;679;82.2;11118;3234;214;242;88.4;255;286;89.2;87;137;63.5;1;0.3;5;54;9;3;53;Rapport de match
28/11/2018;21:00;Champions Lg;Phase de groupe;Mer;Ext̩rieur;D;1;2;fr Paris S-G;469;564;83.2;9177;3022;174;199;87.4;232;254;91.3;60;101;59.4;0;0.5;5;44;15;3;45;Rapport de match
02/12/2018;16:15 (17:15);Premier League;Journ̩e 14;Dim;Domicile;V;1;0;Everton;448;580;77.2;9280;2967;151;180;83.9;228;263;86.7;67;128;52.3;0;0.9;9;33;14;3;45;Rapport de match
05/12/2018;19:45 (20:45);Premier League;Journ̩e 15;Mer;Ext̩rieur;V;3;1;Burnley;622;737;84.4;13157;4016;220;244;90.2;281;314;89.5;116;160;72.5;3;2.1;13;38;13;2;52;Rapport de match
08/12/2018;12:30 (13:30);Premier League;Journ̩e 16;Sam;Ext̩rieur;V;4;0;Bournemouth;556;668;83.2;10407;3146;256;291;88.0;218;246;88.6;80;121;66.1;1;0.2;5;46;9;0;42;Rapport de match
11/12/2018;20:00 (21:00);Champions Lg;Phase de groupe;Mar;Domicile;V;1;0;it Napoli;433;553;78.3;8990;3419;156;187;83.4;189;223;84.8;83;131;63.4;1;2.4;23;31;17;3;59;Rapport de match
16/12/2018;16:00 (17:00);Premier League;Journ̩e 17;Dim;Domicile;V;3;1;Manchester Utd;488;610;80.0;8268;3192;252;286;88.1;187;217;86.2;40;81;49.4;1;1.3;20;40;10;0;52;Rapport de match
21/12/2018;20:00 (21:00);Premier League;Journ̩e 18;Ven;Ext̩rieur;V;2;0;Wolves;614;723;84.9;11613;3531;253;283;89.4;259;287;90.2;88;120;73.3;2;1.2;12;34;14;1;47;Rapport de match
26/12/2018;15:00 (16:00);Premier League;Journ̩e 19;Mer;Domicile;V;4;0;Newcastle Utd;665;774;85.9;13739;3940;234;263;89.0;317;346;91.6;112;151;74.2;2;1.8;10;57;22;2;61;Rapport de match
29/12/2018;17:30 (18:30);Premier League;Journ̩e 20;Sam;Domicile;V;5;1;Arsenal;444;524;84.7;8430;3131;193;210;91.9;184;202;91.1;60;96;62.5;1;1.1;8;25;15;1;35;Rapport de match
03/01/2019;20:00 (21:00);Premier League;Journ̩e 21;Jeu;Ext̩rieur;D;1;2;Manchester City;494;620;79.7;9856;3014;166;200;83.0;267;291;91.8;57;116;49.1;1;1.5;4;31;9;4;34;Rapport de match
07/01/2019;19:45 (20:45);FA Cup;Troisi̬me tour;Lun;Ext̩rieur;D;1;2;Wolves;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
