;;;;;;;;;;Total;;;;;Court;;;Moyen;;;Long;;;;;;;;;;
Date;Heure;Comp;Tour;Jour;Tribune;R̩sultat;BM;BE;Adversaire;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xA;PC;01-mars;PPA;CntSR;Prog;Rapport de match
16/08/2019;21:00;La Liga;Journ̩e 1;Ven;Ext̩rieur;D;0;1;Athletic Club;607;708;85.7;11205;3067;272;298;91.3;238;264;90.2;84;117;71.8;0;0.3;7;54;7;2;33;Rapport de match
25/08/2019;21:00;La Liga;Journ̩e 2;Dim;Domicile;V;5;2;Betis;749;830;90.2;13507;3491;343;365;94.0;296;321;92.2;94;115;81.7;5;1.8;20;74;24;5;60;Rapport de match
31/08/2019;17:00;La Liga;Journ̩e 3;Sam;Ext̩rieur;N;2;2;Osasuna;669;775;86.3;11900;3107;314;339;92.6;261;296;88.2;78;110;70.9;2;0.3;7;63;9;2;48;Rapport de match
14/09/2019;21:00;La Liga;Journ̩e 4;Sam;Domicile;V;5;2;Valencia;723;796;90.8;12184;2974;361;383;94.3;297;323;92.0;58;70;82.9;4;1.3;14;65;13;1;49;Rapport de match
17/09/2019;21:00;Champions Lg;Phase de groupe;Mar;Ext̩rieur;N;0;0;de Dortmund;606;694;87.3;11826;3181;237;262;90.5;282;308;91.6;81;104;77.9;0;0.4;5;52;11;3;57;Rapport de match
21/09/2019;21:00;La Liga;Journ̩e 5;Sam;Ext̩rieur;D;0;2;Granada;610;691;88.3;11260;2928;250;276;90.6;288;306;94.1;65;93;69.9;0;0.5;5;39;8;1;40;Rapport de match
24/09/2019;21:00;La Liga;Journ̩e 6;Mar;Domicile;V;2;1;Villarreal;597;679;87.9;10838;3300;275;299;92.0;250;278;89.9;66;83;79.5;2;0.5;7;44;13;2;37;Rapport de match
28/09/2019;16:00;La Liga;Journ̩e 7;Sam;Ext̩rieur;V;2;0;Getafe;398;485;82.1;8337;2765;148;168;88.1;163;182;89.6;76;108;70.4;1;0.8;7;30;2;0;25;Rapport de match
02/10/2019;21:00;Champions Lg;Phase de groupe;Mer;Domicile;V;2;1;it Inter;719;797;90.2;12618;3272;326;355;91.8;304;322;94.4;76;94;80.9;2;1.2;13;64;16;1;51;Rapport de match
06/10/2019;21:00;La Liga;Journ̩e 8;Dim;Domicile;V;4;0;Sevilla;533;591;90.2;9684;3041;237;247;96.0;223;239;93.3;63;85;74.1;3;1.6;10;30;8;1;32;Rapport de match
19/10/2019;13:00;La Liga;Journ̩e 9;Sam;Ext̩rieur;V;3;0;Eibar;529;623;84.9;10118;3518;219;247;88.7;222;248;89.5;76;100;76.0;3;1.9;8;30;7;0;32;Rapport de match
23/10/2019;21:00;Champions Lg;Phase de groupe;Mer;Ext̩rieur;V;2;1;cz Slavia Prague;443;544;81.4;8696;2880;180;206;87.4;183;210;87.1;71;103;68.9;1;2.2;10;21;12;2;40;Rapport de match
29/10/2019;21:15;La Liga;Journ̩e 11;Mar;Domicile;V;5;1;Valladolid;575;671;85.7;10073;3434;280;313;89.5;218;246;88.6;64;86;74.4;3;2.8;12;51;14;0;55;Rapport de match
02/11/2019;16:00;La Liga;Journ̩e 12;Sam;Ext̩rieur;D;1;3;Levante;613;693;88.5;10603;2942;308;329;93.6;231;253;91.3;66;93;71.0;0;0.6;7;44;9;1;47;Rapport de match
05/11/2019;18:55;Champions Lg;Phase de groupe;Mar;Domicile;N;0;0;cz Slavia Prague;571;669;85.4;11040;2977;220;238;92.4;267;291;91.8;79;118;66.9;0;1.7;9;35;8;1;38;Rapport de match
09/11/2019;21:00;La Liga;Journ̩e 13;Sam;Domicile;V;4;1;Celta Vigo;634;705;89.9;10482;3013;324;344;94.2;239;262;91.2;54;70;77.1;0;0.5;4;52;8;0;32;Rapport de match
23/11/2019;13:00;La Liga;Journ̩e 14;Sam;Ext̩rieur;V;2;1;Legan̩s;685;798;85.8;12539;3382;294;322;91.3;308;342;90.1;73;98;74.5;1;0.9;10;64;10;3;37;Rapport de match
27/11/2019;21:00;Champions Lg;Phase de groupe;Mer;Domicile;V;3;1;de Dortmund;554;632;87.7;10495;2942;219;248;88.3;247;268;92.2;79;97;81.4;3;2.0;9;45;12;1;49;Rapport de match
01/12/2019;21:00;La Liga;Journ̩e 15;Dim;Ext̩rieur;V;1;0;Atl̩tico Madrid;634;724;87.6;12082;3066;265;290;91.4;270;302;89.4;90;108;83.3;1;1.1;10;59;11;0;46;Rapport de match
07/12/2019;21:00;La Liga;Journ̩e 16;Sam;Domicile;V;5;2;Mallorca;674;746;90.3;11811;3603;311;339;91.7;264;281;94.0;77;94;81.9;5;3.1;22;57;25;0;69;Rapport de match
10/12/2019;21:00;Champions Lg;Phase de groupe;Mar;Ext̩rieur;V;2;1;it Inter;613;716;85.6;10818;3040;300;335;89.6;230;255;90.2;70;102;68.6;1;0.6;13;35;5;1;37;Rapport de match
14/12/2019;16:00;La Liga;Journ̩e 17;Sam;Ext̩rieur;N;2;2;Real Sociedad;461;541;85.2;8761;2875;204;222;91.9;183;203;90.1;65;92;70.7;2;2.0;9;40;10;1;37;Rapport de match
18/12/2019;20:00;La Liga;Journ̩e 10;Mer;Domicile;N;0;0;Real Madrid;533;609;87.5;9853;3049;219;236;92.8;245;262;93.5;63;88;71.6;0;0.6;7;27;11;2;36;Rapport de match
21/12/2019;16:00;La Liga;Journ̩e 18;Sam;Domicile;V;4;1;Alav̩s;721;805;89.6;13542;3705;297;321;92.5;325;345;94.2;90;115;78.3;3;0.5;6;62;17;3;58;Rapport de match
04/01/2020;21:00;La Liga;Journ̩e 19;Sam;Ext̩rieur;N;2;2;Espanyol;673;750;89.7;12194;3458;311;334;93.1;273;293;93.2;78;99;78.8;2;1.5;10;46;8;2;48;Rapport de match
09/01/2020;20:00;Supercopa de Espa̱a;Demi-finales;Jeu;Domicile;D;2;3;Atl̩tico Madrid;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
