Pour Real MadridContre Real Madrid;;;;;;;;;;Total;;;;;Court;;;Moyen;;;Long;;;;;;;;;;
Date;Heure;Comp;Tour;Jour;Tribune;R̩sultat;BM;BE;Adversaire;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xA;PC;01-mars;PPA;CntSR;Prog;Rapport de match
17/08/2019;17:00;La Liga;Journ̩e 1;Sam;Ext̩rieur;V;3;1;Celta Vigo;372;451;82.5;6686;2237;188;201;93.5;105;118;89.0;57;99;57.6;3;1.6;14;21;7;2;21;Rapport de match
24/08/2019;19:00;La Liga;Journ̩e 2;Sam;Domicile;N;1;1;Valladolid;618;695;88.9;11951;3724;285;304;93.8;230;256;89.8;100;124;80.6;1;1.1;20;58;24;10;49;Rapport de match
01/09/2019;21:00;La Liga;Journ̩e 3;Dim;Ext̩rieur;N;2;2;Villarreal;525;609;86.2;10258;3207;222;239;92.9;213;241;88.4;83;116;71.6;2;1.6;13;55;10;4;62;Rapport de match
14/09/2019;13:00;La Liga;Journ̩e 4;Sam;Domicile;V;3;2;Levante;607;691;87.8;11352;3254;267;290;92.1;247;264;93.6;82;117;70.1;3;2.2;19;37;13;1;43;Rapport de match
18/09/2019;21:00;Champions Lg;Phase de groupe;Mer;Ext̩rieur;D;0;3;fr Paris S-G;504;585;86.2;9902;2524;205;227;90.3;211;233;90.6;78;104;75.0;0;0.6;8;33;9;2;29;Rapport de match
22/09/2019;21:00;La Liga;Journ̩e 5;Dim;Ext̩rieur;V;1;0;Sevilla;402;503;79.9;7725;2415;174;199;87.4;156;176;88.6;61;103;59.2;1;0.9;6;36;11;1;31;Rapport de match
25/09/2019;21:00;La Liga;Journ̩e 6;Mer;Domicile;V;2;0;Osasuna;449;540;83.1;8793;2762;180;202;89.1;193;214;90.2;72;106;67.9;2;0.6;9;27;3;0;39;Rapport de match
28/09/2019;21:00;La Liga;Journ̩e 7;Sam;Ext̩rieur;N;0;0;Atl̩tico Madrid;513;608;84.4;10085;2910;230;246;93.5;176;200;88.0;99;137;72.3;0;0.3;12;47;10;3;38;Rapport de match
01/10/2019;18:55;Champions Lg;Phase de groupe;Mar;Domicile;N;2;2;be Club Brugge;680;772;88.1;12847;4132;291;307;94.8;291;321;90.7;90;116;77.6;2;2.0;23;56;29;4;81;Rapport de match
05/10/2019;16:00;La Liga;Journ̩e 8;Sam;Domicile;V;4;2;Granada;446;526;84.8;8254;2633;202;220;91.8;176;195;90.3;61;94;64.9;4;2.1;14;23;6;2;23;Rapport de match
19/10/2019;21:00;La Liga;Journ̩e 9;Sam;Ext̩rieur;D;0;1;Mallorca;514;596;86.2;9548;3306;237;260;91.2;191;209;91.4;75;103;72.8;0;0.8;12;49;14;2;58;Rapport de match
22/10/2019;22:00 (21:00);Champions Lg;Phase de groupe;Mar;Ext̩rieur;V;1;0;tr Galatasaray;422;529;79.8;7523;2826;206;232;88.8;162;195;83.1;47;75;62.7;1;2.8;20;39;18;2;55;Rapport de match
30/10/2019;21:15;La Liga;Journ̩e 11;Mer;Domicile;V;5;0;Legan̩s;583;671;86.9;10775;3259;278;299;93.0;213;242;88.0;79;102;77.5;3;2.1;16;40;21;3;53;Rapport de match
02/11/2019;21:00;La Liga;Journ̩e 12;Sam;Domicile;N;0;0;Betis;554;650;85.2;11042;3041;236;265;89.1;213;237;89.9;97;127;76.4;0;1.7;16;50;12;3;45;Rapport de match
06/11/2019;21:00;Champions Lg;Phase de groupe;Mer;Domicile;V;6;0;tr Galatasaray;764;847;90.2;14224;3734;340;361;94.2;310;338;91.7;102;123;82.9;5;2.8;17;80;13;2;56;Rapport de match
09/11/2019;18:30;La Liga;Journ̩e 13;Sam;Ext̩rieur;V;4;0;Eibar;527;623;84.6;10471;3457;229;251;91.2;206;226;91.2;84;129;65.1;1;0.8;6;29;15;5;33;Rapport de match
