Pour Paris Saint-GermainContre Paris Saint-Germain;;;;;;;;;;Total;;;;;Court;;;Moyen;;;Long;;;;;;;;;;
Date;Heure;Comp;Tour;Jour;Tribune;RÃ©sultat;BM;BE;Adversaire;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xA;PC;01-mars;PPA;CntSR;Prog;Rapport de match
03/08/2019;19:30 (13:30);TrophÃ©e des Champions;TrophÃ©e des Champions;Sam;Terrain neutre;V;2;1;Rennes;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
11/08/2019;21:00;Ligue 1;JournÃ©e 1;Dim;Domicile;V;3;0;NÃ®mes;738;803;91.9;13054;3357;326;354;92.1;334;349;95.7;65;78;83.3;2;2.0;8;84;13;1;54;Rapport de match
18/08/2019;21:00;Ligue 1;JournÃ©e 2;Dim;ExtÃ©rieur;D;1;2;Rennes;566;655;86.4;10326;2957;243;262;92.7;255;286;89.2;62;88;70.5;0;0.4;5;40;10;3;38;Rapport de match
25/08/2019;21:00;Ligue 1;JournÃ©e 3;Dim;Domicile;V;4;0;Toulouse;640;725;88.3;11832;3527;270;294;91.8;286;302;94.7;78;111;70.3;2;1.7;11;60;21;5;59;Rapport de match
30/08/2019;20:45;Ligue 1;JournÃ©e 4;Ven;ExtÃ©rieur;V;2;0;Metz;647;722;89.6;11766;3769;293;317;92.4;278;291;95.5;70;94;74.5;1;0.7;8;40;8;3;54;Rapport de match
14/09/2019;17:30;Ligue 1;JournÃ©e 5;Sam;Domicile;V;1;0;Strasbourg;590;678;87.0;10312;3201;275;301;91.4;247;282;87.6;59;82;72.0;1;0.7;10;47;14;3;50;Rapport de match
18/09/2019;21:00;Champions Lg;Phase de groupe;Mer;Domicile;V;3;0;es Real Madrid;573;650;88.2;9880;2892;287;306;93.8;217;238;91.2;53;79;67.1;3;1.4;9;43;15;1;46;Rapport de match
22/09/2019;21:00;Ligue 1;JournÃ©e 6;Dim;ExtÃ©rieur;V;1;0;Lyon;661;728;90.8;12035;3655;303;322;94.1;257;276;93.1;88;106;83.0;1;1.8;17;53;17;3;66;Rapport de match
25/09/2019;21:00;Ligue 1;JournÃ©e 7;Mer;Domicile;D;0;2;Reims;715;801;89.3;13116;3549;306;335;91.3;313;335;93.4;83;105;79.0;0;0.3;6;66;17;5;58;Rapport de match
28/09/2019;17:30;Ligue 1;JournÃ©e 8;Sam;ExtÃ©rieur;V;1;0;Bordeaux;622;722;86.1;11389;3649;265;304;87.2;275;296;92.9;70;103;68.0;1;2.4;16;54;22;3;68;Rapport de match
01/10/2019;22:00 (21:00);Champions Lg;Phase de groupe;Mar;ExtÃ©rieur;V;1;0;tr Galatasaray;430;544;79.0;7940;2643;201;219;91.8;153;180;85.0;66;119;55.5;1;2.2;10;29;7;0;34;Rapport de match
05/10/2019;17:30;Ligue 1;JournÃ©e 9;Sam;Domicile;V;4;0;Angers;849;916;92.7;13723;4272;482;504;95.6;284;303;93.7;71;89;79.8;4;2.4;11;80;15;2;65;Rapport de match
18/10/2019;20:45;Ligue 1;JournÃ©e 10;Ven;ExtÃ©rieur;V;4;1;Nice;525;598;87.8;10472;3211;203;216;94.0;241;269;89.6;78;99;78.8;3;2.7;16;36;12;2;40;Rapport de match
22/10/2019;21:00;Champions Lg;Phase de groupe;Mar;ExtÃ©rieur;V;5;0;be Club Brugge;469;561;83.6;8250;3016;233;247;94.3;174;204;85.3;50;86;58.1;4;2.8;10;24;7;0;32;Rapport de match
27/10/2019;21:00;Ligue 1;JournÃ©e 11;Dim;Domicile;V;4;0;Marseille;615;679;90.6;10981;3247;307;326;94.2;216;228;94.7;83;103;80.6;3;2.7;10;38;11;1;49;Rapport de match
01/11/2019;20:45;Ligue 1;JournÃ©e 12;Ven;ExtÃ©rieur;D;1;2;Dijon;579;650;89.1;10931;3943;244;262;93.1;242;264;91.7;82;106;77.4;1;2.2;16;46;16;8;58;Rapport de match
06/11/2019;21:00;Champions Lg;Phase de groupe;Mer;Domicile;V;1;0;be Club Brugge;652;737;88.5;11503;3732;326;348;93.7;249;271;91.9;70;102;68.6;0;0.4;5;39;8;1;45;Rapport de match
09/11/2019;17:30;Ligue 1;JournÃ©e 13;Sam;ExtÃ©rieur;V;2;1;Brest;558;640;87.2;9846;3311;254;278;91.4;245;272;90.1;51;77;66.2;1;0.9;12;50;15;1;56;Rapport de match
22/11/2019;20:45;Ligue 1;JournÃ©e 14;Ven;Domicile;V;2;0;Lille;630;714;88.2;12140;3330;261;274;95.3;272;298;91.3;91;120;75.8;2;2.3;9;28;14;2;43;Rapport de match
26/11/2019;21:00;Champions Lg;Phase de groupe;Mar;ExtÃ©rieur;N;2;2;es Real Madrid;536;627;85.5;8519;2677;291;316;92.1;197;216;91.2;40;76;52.6;0;0.8;9;25;7;2;30;Rapport de match
04/12/2019;21:05;Ligue 1;JournÃ©e 16;Mer;Domicile;V;2;0;Nantes;650;738;88.1;11294;3412;323;347;93.1;234;261;89.7;78;102;76.5;1;1.8;7;41;8;2;51;Rapport de match
07/12/2019;17:30;Ligue 1;JournÃ©e 17;Sam;ExtÃ©rieur;V;3;1;Montpellier;443;515;86.0;8244;2709;197;211;93.4;181;203;89.2;57;78;73.1;2;0.8;7;34;7;0;42;Rapport de match
11/12/2019;21:00;Champions Lg;Phase de groupe;Mer;Domicile;V;5;0;tr Galatasaray;588;672;87.5;10145;2984;288;317;90.9;230;252;91.3;59;83;71.1;4;3.2;13;45;15;2;41;Rapport de match
15/12/2019;21:00;Ligue 1;JournÃ©e 18;Dim;ExtÃ©rieur;V;4;0;Saint-Ã‰tienne;610;696;87.6;11791;3600;276;304;90.8;213;240;88.8;107;125;85.6;2;1.7;11;48;18;2;64;Rapport de match
18/12/2019;21:05;Coupe de la Ligue;HuitiÃ¨mes de finale;Mer;ExtÃ©rieur;V;4;1;Le Mans;;;;;;;;;;;;;;;4;;;;;;;Rapport de match
21/12/2019;20:45;Ligue 1;JournÃ©e 19;Sam;Domicile;V;4;1;Amiens;660;727;90.8;11955;3531;282;306;92.2;291;314;92.7;74;85;87.1;4;3.1;17;40;19;1;61;Rapport de match
05/01/2020;20:55;Coupe de France;Tableau de 64;Dim;ExtÃ©rieur;V;6;0;Linas-Montl.;;;;;;;;;;;;;;;4;;;;;;;Rapport de match
08/01/2020;21:05;Coupe de la Ligue;Quarts de finale;Mer;Domicile;V;6;1;Saint-Ã‰tienne;;;;;;;;;;;;;;;5;;;;;;;Rapport de match
12/01/2020;21:00;Ligue 1;JournÃ©e 20;Dim;Domicile;N;3;3;Monaco;586;671;87.3;10255;3259;282;304;92.8;237;257;92.2;59;80;73.8;1;1.6;11;61;18;3;49;Rapport de match
15/01/2020;21:00;Ligue 1;JournÃ©e 15;Mer;ExtÃ©rieur;V;4;1;Monaco;541;615;88.0;9677;3071;241;263;91.6;215;238;90.3;70;86;81.4;3;2.1;13;42;10;0;45;Rapport de match
19/01/2020;20:55;Coupe de France;SeiziÃ¨mes de finale;Dim;ExtÃ©rieur;V;1;0;Lorient;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
22/01/2020;21:00;Coupe de la Ligue;Demi-finales;Mer;ExtÃ©rieur;V;3;0;Reims;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
26/01/2020;21:00;Ligue 1;JournÃ©e 21;Dim;ExtÃ©rieur;V;2;0;Lille;482;568;84.9;8554;2768;216;234;92.3;188;210;89.5;60;97;61.9;1;1.3;10;23;11;1;42;Rapport de match
29/01/2020;18:30;Coupe de France;HuitiÃ¨mes de finale;Mer;ExtÃ©rieur;V;2;0;Pau FC;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
01/02/2020;17:30;Ligue 1;JournÃ©e 22;Sam;Domicile;V;5;0;Montpellier;560;634;88.3;9167;2885;283;308;91.9;214;233;91.8;43;62;69.4;2;2.1;12;49;18;0;55;Rapport de match
04/02/2020;21:05;Ligue 1;JournÃ©e 23;Mar;ExtÃ©rieur;V;2;1;Nantes;635;718;88.4;10918;3615;313;333;94.0;242;258;93.8;69;106;65.1;2;2.5;15;41;17;2;52;Rapport de match
09/02/2020;21:00;Ligue 1;JournÃ©e 24;Dim;Domicile;V;4;2;Lyon;701;784;89.4;11555;3183;350;374;93.6;287;311;92.3;51;76;67.1;2;0.9;9;36;17;3;38;Rapport de match
12/02/2020;18:30;Coupe de France;Quarts de finale;Mer;ExtÃ©rieur;V;6;1;Dijon;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
15/02/2020;17:30;Ligue 1;JournÃ©e 25;Sam;ExtÃ©rieur;N;4;4;Amiens;758;844;89.8;13647;3985;345;372;92.7;315;338;93.2;86;115;74.8;3;2.4;14;49;14;2;45;Rapport de match
18/02/2020;21:00;Champions Lg;HuitiÃ¨mes de finale;Mar;ExtÃ©rieur;D;1;2;de Dortmund;561;635;88.3;9163;2817;294;317;92.7;218;236;92.4;40;68;58.8;1;1.3;8;36;5;0;33;Rapport de match
23/02/2020;21:00;Ligue 1;JournÃ©e 26;Dim;Domicile;V;4;3;Bordeaux;565;639;88.4;9400;2799;297;317;93.7;210;226;92.9;51;77;66.2;3;3.4;20;45;19;3;40;Rapport de match
29/02/2020;17:30;Ligue 1;JournÃ©e 27;Sam;Domicile;V;4;0;Dijon;719;807;89.1;13332;3530;281;304;92.4;339;360;94.2;80;110;72.7;3;4.0;19;36;14;4;56;Rapport de match
04/03/2020;21:10;Coupe de France;Demi-finales;Mer;ExtÃ©rieur;V;5;1;Lyon;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
11/03/2020;21:00;Champions Lg;HuitiÃ¨mes de finale;Mer;Domicile;V;2;0;de Dortmund;476;555;85.8;8666;2369;209;225;92.9;193;211;91.5;60;95;63.2;2;1.0;5;27;4;0;29;Rapport de match
24/07/2020;21:10;Coupe de France;Finale;Ven;Domicile;V;1;0;Saint-Ã‰tienne;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
31/07/2020;21:10;Coupe de la Ligue;Phase finale;Ven;Domicile;V;0 (6);0 (5);Lyon;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
12/08/2020;21:00;Champions Lg;Quarts de finale;Mer;Terrain neutre;V;2;1;it Atalanta;507;582;87.1;9567;3325;203;217;93.5;218;240;90.8;72;103;69.9;2;1.9;12;30;10;0;44;Rapport de match
18/08/2020;20:00 (21:00);Champions Lg;Demi-finales;Mar;ExtÃ©rieur;V;3;0;de RB Leipzig;617;690;89.4;10532;3269;292;313;93.3;254;266;95.5;47;75;62.7;3;2.4;11;30;8;3;30;Rapport de match
23/08/2020;20:00 (21:00);Champions Lg;Finale;Dim;Domicile;D;0;1;de Bayern MÃ¼nchen;276;367;75.2;5022;2149;123;147;83.7;103;120;85.8;38;77;49.4;0;1.7;8;11;9;0;23;Rapport de match
;;;;;;41-3-5;136;35;;22530;25607;88.0;400899;123198;10465;11298;92.6;9117;9934;91.8;2511;3523;71.3;91;69.8;420;1606;490;74;1785;
