Pour ArsenalContre Arsenal;;;;;;;;;;Total;;;;;Court;;;Moyen;;;Long;;;;;;;;;;
Date;Heure;Comp;Tour;Jour;Tribune;R̩sultat;BM;BE;Adversaire;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xA;PC;01-mars;PPA;CntSR;Prog;Rapport de match
06/08/2017;14:00 (15:00);Community Shield;FA Community Shield;Dim;Terrain neutre;V;1 (4);1 (1);Chelsea;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
11/08/2017;19:45 (20:45);Premier League;Journ̩e 1;Ven;Domicile;V;4;3;Leicester City;546;659;82.9;10735;3159;226;260;86.9;234;265;88.3;83;113;73.5;4;2.1;26;57;15;3;50;Rapport de match
19/08/2017;17:30 (18:30);Premier League;Journ̩e 2;Sam;Ext̩rieur;D;0;1;Stoke City;639;745;85.8;12042;3714;249;274;90.9;294;320;91.9;84;125;67.2;0;1.1;15;65;22;5;72;Rapport de match
27/08/2017;16:00 (17:00);Premier League;Journ̩e 3;Dim;Ext̩rieur;D;0;4;Liverpool;444;554;80.1;8278;2588;181;211;85.8;201;233;86.3;54;93;58.1;0;0.6;6;35;11;0;38;Rapport de match
09/09/2017;15:00 (16:00);Premier League;Journ̩e 4;Sam;Domicile;V;3;0;Bournemouth;483;614;78.7;9356;3103;183;223;82.1;223;261;85.4;66;112;58.9;3;1.1;12;40;13;2;42;Rapport de match
14/09/2017;21:05 (22:05);Europa Lg;Phase de groupe;Jeu;Domicile;V;3;1;de K̦ln;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
17/09/2017;13:30 (14:30);Premier League;Journ̩e 5;Dim;Ext̩rieur;N;0;0;Chelsea;408;532;76.7;7546;2578;185;220;84.1;157;198;79.3;56;95;58.9;0;0.6;7;31;6;1;28;Rapport de match
20/09/2017;19:45 (20:45);EFL Cup;Troisi̬me tour;Mer;Domicile;V;1;0;Doncaster;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
25/09/2017;20:00 (21:00);Premier League;Journ̩e 6;Lun;Domicile;V;2;0;West Brom;532;631;84.3;11161;3936;139;174;79.9;319;349;91.4;73;102;71.6;0;0.6;10;56;10;0;49;Rapport de match
28/09/2017;20:00 (19:00);Europa Lg;Phase de groupe;Jeu;Ext̩rieur;V;4;2;by BATE Borisov;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
