Pour Manchester UnitedContre Manchester United;;;;;;;;;;Total;;;;;Court;;;Moyen;;;Long;;;;;;;;;;
Date;Heure;Comp;Tour;Jour;Tribune;R̩sultat;BM;BE;Adversaire;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xA;PC;01-mars;PPA;CntSR;Prog;Rapport de match
10/08/2018;20:00 (21:00);Premier League;Journ̩e 1;Ven;Domicile;V;2;1;Leicester City;397;501;79.2;6567;2357;243;273;89.0;114;148;77.0;37;71;52.1;1;0.8;7;35;2;0;22;Rapport de match
19/08/2018;16:00 (17:00);Premier League;Journ̩e 2;Dim;Ext̩rieur;D;2;3;Brighton;517;624;82.9;10415;3503;184;212;86.8;244;273;89.4;83;118;70.3;0;0.3;5;33;7;0;43;Rapport de match
27/08/2018;20:00 (21:00);Premier League;Journ̩e 3;Lun;Domicile;D;0;3;Tottenham;403;527;76.5;8360;3260;164;199;82.4;159;197;80.7;76;119;63.9;0;1.4;18;38;13;5;59;Rapport de match
02/09/2018;16:00 (17:00);Premier League;Journ̩e 4;Dim;Ext̩rieur;V;2;0;Burnley;466;560;83.2;9203;2909;217;243;89.3;172;193;89.1;72;110;65.5;1;2.2;18;39;16;4;44;Rapport de match
15/09/2018;17:30 (18:30);Premier League;Journ̩e 5;Sam;Ext̩rieur;V;2;1;Watford;447;567;78.8;9214;3275;180;202;89.1;182;221;82.4;80;123;65.0;1;1.2;7;41;8;1;44;Rapport de match
19/09/2018;21:00;Champions Lg;Phase de groupe;Mer;Ext̩rieur;V;3;0;ch Young Boys;468;565;82.8;8849;3218;209;230;90.9;194;227;85.5;60;96;62.5;2;1.3;12;40;8;2;42;Rapport de match
22/09/2018;15:00 (16:00);Premier League;Journ̩e 6;Sam;Domicile;N;1;1;Wolves;605;722;83.8;11666;3745;259;285;90.9;250;288;86.8;88;133;66.2;1;0.5;9;53;14;2;56;Rapport de match
25/09/2018;20:00 (21:00);EFL Cup;Troisi̬me tour;Mar;Domicile;D;2 (7);2 (8);Derby County;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
29/09/2018;12:30 (13:30);Premier League;Journ̩e 7;Sam;Ext̩rieur;D;1;3;West Ham;422;522;80.8;8083;2981;179;198;90.4;168;205;82.0;69;109;63.3;1;0.4;8;49;7;5;44;Rapport de match
02/10/2018;20:00 (21:00);Champions Lg;Phase de groupe;Mar;Domicile;N;0;0;es Valencia;439;550;79.8;8387;3058;200;226;88.5;174;206;84.5;63;103;61.2;0;0.5;9;34;11;2;45;Rapport de match
06/10/2018;17:30 (18:30);Premier League;Journ̩e 8;Sam;Domicile;V;3;2;Newcastle Utd;556;694;80.1;11210;3868;196;226;86.7;261;305;85.6;89;133;66.9;2;1.4;15;49;18;8;63;Rapport de match
20/10/2018;12:30 (13:30);Premier League;Journ̩e 9;Sam;Ext̩rieur;N;2;2;Chelsea;296;398;74.4;5930;2402;126;145;86.9;125;153;81.7;43;88;48.9;1;0.5;4;20;9;1;30;Rapport de match
23/10/2018;20:00 (21:00);Champions Lg;Phase de groupe;Mar;Domicile;D;0;1;it Juventus;358;454;78.9;6319;2085;171;197;86.8;140;165;84.8;39;78;50.0;0;0.1;4;33;7;3;40;Rapport de match
28/10/2018;16:00 (17:00);Premier League;Journ̩e 10;Dim;Domicile;V;2;1;Everton;416;522;79.7;7708;2737;211;236;89.4;140;170;82.4;58;99;58.6;1;1.1;12;35;11;2;36;Rapport de match
03/11/2018;12:30 (13:30);Premier League;Journ̩e 11;Sam;Ext̩rieur;V;2;1;Bournemouth;369;487;75.8;7421;2937;148;167;88.6;162;203;79.8;56;110;50.9;1;2.1;12;29;12;2;47;Rapport de match
07/11/2018;21:00;Champions Lg;Phase de groupe;Mer;Ext̩rieur;V;2;1;it Juventus;376;445;84.5;6928;2149;180;198;90.9;148;164;90.2;43;69;62.3;0;0.8;7;20;6;2;31;Rapport de match
11/11/2018;16:30 (17:30);Premier League;Journ̩e 12;Dim;Ext̩rieur;D;1;3;Manchester City;332;403;82.4;6273;2396;155;172;90.1;118;132;89.4;51;78;65.4;0;0.3;4;13;6;1;24;Rapport de match
24/11/2018;15:00 (16:00);Premier League;Journ̩e 13;Sam;Domicile;N;0;0;Crystal Palace;450;564;79.8;9264;3407;196;229;85.6;165;197;83.8;85;121;70.2;0;1.3;10;54;14;4;43;Rapport de match
27/11/2018;20:00 (21:00);Champions Lg;Phase de groupe;Mar;Domicile;V;1;0;ch Young Boys;597;700;85.3;10810;3992;293;321;91.3;218;247;88.3;79;115;68.7;1;2.0;21;55;14;4;60;Rapport de match
01/12/2018;17:30 (18:30);Premier League;Journ̩e 14;Sam;Ext̩rieur;N;2;2;Southampton;477;575;83.0;9043;2937;208;229;90.8;200;230;87.0;65;103;63.1;2;1.2;9;31;8;1;36;Rapport de match
05/12/2018;20:00 (21:00);Premier League;Journ̩e 15;Mer;Domicile;N;2;2;Arsenal;385;486;79.2;7241;2212;182;202;90.1;140;164;85.4;60;111;54.1;1;0.7;6;30;3;1;22;Rapport de match
08/12/2018;15:00 (16:00);Premier League;Journ̩e 16;Sam;Domicile;V;4;1;Fulham;558;670;83.3;11272;3394;209;239;87.4;252;281;89.7;92;135;68.1;4;1.4;12;37;11;2;49;Rapport de match
12/12/2018;21:00;Champions Lg;Phase de groupe;Mer;Ext̩rieur;D;1;2;es Valencia;518;610;84.9;9422;3100;266;295;90.2;185;203;91.1;63;103;61.2;1;0.9;9;31;11;5;34;Rapport de match
16/12/2018;16:00 (17:00);Premier League;Journ̩e 17;Dim;Ext̩rieur;D;1;3;Liverpool;239;362;66.0;4650;2288;103;125;82.4;95;132;72.0;34;86;39.5;0;0.2;5;13;6;0;26;Rapport de match
22/12/2018;17:30 (18:30);Premier League;Journ̩e 18;Sam;Ext̩rieur;V;5;1;Cardiff City;573;670;85.5;9300;3216;315;338;93.2;202;226;89.4;46;82;56.1;3;1.6;11;47;9;2;47;Rapport de match
26/12/2018;15:00 (16:00);Premier League;Journ̩e 19;Mer;Domicile;V;3;1;Huddersfield;576;689;83.6;10235;3336;277;313;88.5;205;241;85.1;75;103;72.8;2;0.6;11;36;9;2;38;Rapport de match
30/12/2018;16:30 (17:30);Premier League;Journ̩e 20;Dim;Domicile;V;4;1;Bournemouth;642;720;89.2;11601;3643;304;324;93.8;254;272;93.4;71;104;68.3;4;2.0;11;38;7;2;41;Rapport de match
02/01/2019;20:00 (21:00);Premier League;Journ̩e 21;Mer;Ext̩rieur;V;2;0;Newcastle Utd;621;711;87.3;10400;3773;305;334;91.3;242;265;91.3;62;91;68.1;1;1.5;11;43;8;1;49;Rapport de match
05/01/2019;12:30 (13:30);FA Cup;Troisi̬me tour;Sam;Domicile;V;2;0;Reading;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
13/01/2019;16:30 (17:30);Premier League;Journ̩e 22;Dim;Ext̩rieur;V;1;0;Tottenham;295;393;75.1;5942;2414;139;163;85.3;97;113;85.8;52;105;49.5;1;0.8;9;24;4;1;22;Rapport de match
