Pour Tottenham HotspurContre Tottenham Hotspur;;;;;;;;;;Total;;;;;Court;;;Moyen;;;Long;;;;;;;;;;
Date;Heure;Comp;Tour;Jour;Tribune;R̩sultat;BM;BE;Adversaire;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xA;PC;01-mars;PPA;CntSR;Prog;Rapport de match
13/08/2017;13:30 (14:30);Premier League;Journ̩e 1;Dim;Ext̩rieur;V;2;0;Newcastle Utd;649;747;86.9;12832;3226;218;245;89.0;325;349;93.1;97;133;72.9;2;1.2;12;55;13;1;49;Rapport de match
20/08/2017;16:00 (17:00);Premier League;Journ̩e 2;Dim;Domicile;D;1;2;Chelsea;535;645;82.9;11265;3821;158;183;86.3;278;308;90.3;91;132;68.9;0;0.5;13;57;11;0;59;Rapport de match
27/08/2017;16:00 (17:00);Premier League;Journ̩e 3;Dim;Domicile;N;1;1;Burnley;520;625;83.2;10448;3246;209;236;88.6;212;237;89.5;91;129;70.5;0;1.3;18;44;15;2;51;Rapport de match
09/09/2017;15:00 (16:00);Premier League;Journ̩e 4;Sam;Ext̩rieur;V;3;0;Everton;388;505;76.8;7797;2643;149;176;84.7;166;192;86.5;66;118;55.9;2;1.0;10;31;16;5;35;Rapport de match
13/09/2017;19:45 (20:45);Champions Lg;Phase de groupe;Mer;Domicile;V;3;1;de Dortmund;;;;;;;;;;;;;;;3;;;;;;;Rapport de match
16/09/2017;17:30 (18:30);Premier League;Journ̩e 5;Sam;Domicile;N;0;0;Swansea City;692;806;85.9;12912;3434;284;309;91.9;290;326;89.0;100;138;72.5;0;1.4;20;67;17;3;48;Rapport de match
19/09/2017;20:00 (21:00);EFL Cup;Troisi̬me tour;Mar;Domicile;V;1;0;Barnsley;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
23/09/2017;12:30 (13:30);Premier League;Journ̩e 6;Sam;Ext̩rieur;V;3;2;West Ham;306;423;72.3;5996;2207;107;134;79.9;146;177;82.5;43;92;46.7;1;1.1;10;25;5;1;42;Rapport de match
26/09/2017;21:45 (20:45);Champions Lg;Phase de groupe;Mar;Ext̩rieur;V;3;0;cy APOEL FC;;;;;;;;;;;;;;;3;;;;;;;Rapport de match
30/09/2017;12:30 (13:30);Premier League;Journ̩e 7;Sam;Ext̩rieur;V;4;0;Huddersfield;473;586;80.7;9258;3219;171;196;87.2;230;260;88.5;65;109;59.6;3;1.7;13;40;11;2;39;Rapport de match
14/10/2017;15:00 (16:00);Premier League;Journ̩e 8;Sam;Domicile;V;1;0;Bournemouth;626;726;86.2;13079;3289;232;253;91.7;268;295;90.8;122;165;73.9;0;2.0;14;53;14;1;53;Rapport de match
17/10/2017;20:45;Champions Lg;Phase de groupe;Mar;Ext̩rieur;N;1;1;es Real Madrid;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
22/10/2017;16:00 (17:00);Premier League;Journ̩e 9;Dim;Domicile;V;4;1;Liverpool;304;402;75.6;6365;2214;105;129;81.4;137;152;90.1;53;98;54.1;2;1.2;7;20;4;0;27;Rapport de match
25/10/2017;20:00 (21:00);EFL Cup;Quatri̬me tour;Mer;Domicile;D;2;3;West Ham;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
28/10/2017;12:30 (13:30);Premier League;Journ̩e 10;Sam;Ext̩rieur;D;0;1;Manchester Utd;395;540;73.1;7252;2279;177;213;83.1;171;216;79.2;44;98;44.9;0;0.9;12;34;5;0;25;Rapport de match
01/11/2017;19:45 (20:45);Champions Lg;Phase de groupe;Mer;Domicile;V;3;1;es Real Madrid;;;;;;;;;;;;;;;3;;;;;;;Rapport de match
05/11/2017;12:00 (13:00);Premier League;Journ̩e 11;Dim;Domicile;V;1;0;Crystal Palace;505;630;80.2;10214;2955;179;206;86.9;230;268;85.8;86;133;64.7;0;0.8;8;50;9;3;51;Rapport de match
18/11/2017;12:30 (13:30);Premier League;Journ̩e 12;Sam;Ext̩rieur;D;0;2;Arsenal;455;583;78.0;8786;2827;177;196;90.3;216;261;82.8;56;110;50.9;0;0.8;10;37;10;2;40;Rapport de match
21/11/2017;20:45;Champions Lg;Phase de groupe;Mar;Ext̩rieur;V;2;1;de Dortmund;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
25/11/2017;15:00 (16:00);Premier League;Journ̩e 13;Sam;Domicile;N;1;1;West Brom;612;731;83.7;12141;3655;243;270;90.0;271;305;88.9;95;139;68.3;1;1.2;19;73;11;4;75;Rapport de match
28/11/2017;19:45 (20:45);Premier League;Journ̩e 14;Mar;Ext̩rieur;D;1;2;Leicester City;473;597;79.2;8839;3007;183;214;85.5;210;252;83.3;62;98;63.3;1;1.9;17;49;16;6;51;Rapport de match
02/12/2017;15:00 (16:00);Premier League;Journ̩e 15;Sam;Ext̩rieur;N;1;1;Watford;343;454;75.6;7525;2569;113;136;83.1;149;188;79.3;78;113;69.0;1;0.9;3;31;4;1;35;Rapport de match
06/12/2017;19:45 (20:45);Champions Lg;Phase de groupe;Mer;Domicile;V;3;0;cy APOEL FC;;;;;;;;;;;;;;;3;;;;;;;Rapport de match
09/12/2017;15:00 (16:00);Premier League;Journ̩e 16;Sam;Domicile;V;5;1;Stoke City;583;680;85.7;11185;3619;229;252;90.9;262;299;87.6;83;107;77.6;3;2.7;17;53;19;5;69;Rapport de match
13/12/2017;20:00 (21:00);Premier League;Journ̩e 17;Mer;Domicile;V;2;0;Brighton;686;794;86.4;12576;3226;286;311;92.0;316;354;89.3;77;116;66.4;2;1.0;17;58;12;2;48;Rapport de match
16/12/2017;17:30 (18:30);Premier League;Journ̩e 18;Sam;Ext̩rieur;D;1;4;Manchester City;313;411;76.2;6577;2268;104;123;84.6;129;151;85.4;66;106;62.3;0;0.1;4;20;5;2;24;Rapport de match
23/12/2017;17:30 (18:30);Premier League;Journ̩e 19;Sam;Ext̩rieur;V;3;0;Burnley;436;559;78.0;8032;3105;185;208;88.9;179;218;82.1;58;106;54.7;2;2.3;15;43;8;2;44;Rapport de match
26/12/2017;12:30 (13:30);Premier League;Journ̩e 20;Mar;Domicile;V;5;2;Southampton;428;524;81.7;8304;2973;177;200;88.5;182;206;88.3;62;97;63.9;5;2.8;13;29;15;1;39;Rapport de match
02/01/2018;19:45 (20:45);Premier League;Journ̩e 22;Mar;Ext̩rieur;V;2;0;Swansea City;600;705;85.1;12291;3752;201;232;86.6;280;304;92.1;107;138;77.5;1;1.0;10;54;11;3;55;Rapport de match
04/01/2018;20:00 (21:00);Premier League;Journ̩e 21;Jeu;Domicile;N;1;1;West Ham;577;713;80.9;11048;3124;213;246;86.6;273;318;85.8;80;120;66.7;1;1.2;20;62;7;2;50;Rapport de match
07/01/2018;15:00 (16:00);FA Cup;Troisi̬me tour;Dim;Domicile;V;3;0;AFC Wimbledon;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
13/01/2018;17:30 (18:30);Premier League;Journ̩e 23;Sam;Domicile;V;4;0;Everton;512;627;81.7;9831;3620;215;248;86.7;223;254;87.8;68;109;62.4;4;1.7;16;39;8;1;62;Rapport de match
21/01/2018;16:00 (17:00);Premier League;Journ̩e 24;Dim;Ext̩rieur;N;1;1;Southampton;434;551;78.8;8725;3092;159;188;84.6;194;235;82.6;71;103;68.9;1;1.2;12;36;13;4;48;Rapport de match
27/01/2018;17:30 (18:30);FA Cup;Quatri̬me tour;Sam;Ext̩rieur;N;1;1;Newport County;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
31/01/2018;20:00 (21:00);Premier League;Journ̩e 25;Mer;Domicile;V;2;0;Manchester Utd;451;552;81.7;8172;3107;180;203;88.7;211;242;87.2;49;86;57.0;0;1.4;18;42;18;1;50;Rapport de match
04/02/2018;16:30 (17:30);Premier League;Journ̩e 26;Dim;Ext̩rieur;N;2;2;Liverpool;495;636;77.8;10136;3181;177;200;88.5;234;283;82.7;74;130;56.9;0;0.6;6;42;5;1;45;Rapport de match
07/02/2018;19:45 (20:45);FA Cup;Quatri̬me tour;Mer;Domicile;V;2;0;Newport County;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
10/02/2018;12:30 (13:30);Premier League;Journ̩e 27;Sam;Domicile;V;1;0;Arsenal;424;531;79.8;8513;2779;159;182;87.4;187;221;84.6;70;107;65.4;1;1.6;13;43;11;3;47;Rapport de match
13/02/2018;20:45;Champions Lg;Huiti̬mes de finale;Mar;Ext̩rieur;N;2;2;it Juventus;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
18/02/2018;16:00 (17:00);FA Cup;Cinqui̬me tour;Dim;Ext̩rieur;N;2;2;Rochdale;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
25/02/2018;12:00 (13:00);Premier League;Journ̩e 28;Dim;Ext̩rieur;V;1;0;Crystal Palace;600;720;83.3;11953;3298;236;278;84.9;257;287;89.5;96;127;75.6;1;0.6;5;49;9;1;58;Rapport de match
28/02/2018;19:45 (20:45);FA Cup;Cinqui̬me tour;Mer;Domicile;V;6;1;Rochdale;;;;;;;;;;;;;;;6;;;;;;;Rapport de match
03/03/2018;15:00 (16:00);Premier League;Journ̩e 29;Sam;Domicile;V;2;0;Huddersfield;741;857;86.5;13820;4612;323;359;90.0;328;360;91.1;84;119;70.6;2;1.7;13;46;12;4;77;Rapport de match
07/03/2018;19:45 (20:45);Champions Lg;Huiti̬mes de finale;Mer;Domicile;D;1;2;it Juventus;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
11/03/2018;16:00 (17:00);Premier League;Journ̩e 30;Dim;Ext̩rieur;V;4;1;Bournemouth;453;569;79.6;9566;3318;102;126;81.0;293;333;88.0;57;96;59.4;3;1.7;9;44;10;2;54;Rapport de match
17/03/2018;12:15 (13:15);FA Cup;Quarts de finale;Sam;Ext̩rieur;V;3;0;Swansea City;;;;;;;;;;;;;;;3;;;;;;;Rapport de match
