Pour ChelseaContre Chelsea;;;;;;;;;;Total;;;;;Court;;;Moyen;;;Long;;;;;;;;;;
Date;Heure;Comp;Tour;Jour;Tribune;R̩sultat;BM;BE;Adversaire;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xA;PC;01-mars;PPA;CntSR;Prog;Rapport de match
11/08/2019;16:30 (17:30);Premier League;Journ̩e 1;Dim;Ext̩rieur;D;0;4;Manchester Utd;470;564;83.3;8722;2338;207;231;89.6;187;217;86.2;64;96;66.7;0;0.6;15;30;6;2;34;Rapport de match
14/08/2019;22:00 (21:00);Super Cup;Supercoupe UEFA;Mer;Ext̩rieur;D;2 (4);2 (5);eng Liverpool;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
18/08/2019;16:30 (17:30);Premier League;Journ̩e 2;Dim;Domicile;N;1;1;Leicester City;374;476;78.6;7346;2403;146;168;86.9;155;185;83.8;60;98;61.2;0;0.9;10;28;8;3;28;Rapport de match
24/08/2019;12:30 (13:30);Premier League;Journ̩e 3;Sam;Ext̩rieur;V;3;2;Norwich City;487;579;84.1;9587;2696;189;207;91.3;217;241;90.0;76;111;68.5;3;1.9;21;41;16;4;45;Rapport de match
31/08/2019;15:00 (16:00);Premier League;Journ̩e 4;Sam;Domicile;N;2;2;Sheffield Utd;651;756;86.1;12851;3375;246;272;90.4;302;337;89.6;99;135;73.3;0;1.2;9;29;3;2;33;Rapport de match
14/09/2019;15:00 (16:00);Premier League;Journ̩e 5;Sam;Ext̩rieur;V;5;2;Wolves;502;584;86.0;9881;3047;188;207;90.8;231;254;90.9;73;104;70.2;3;1.4;11;26;9;0;29;Rapport de match
17/09/2019;20:00 (21:00);Champions Lg;Phase de groupe;Mar;Domicile;D;0;1;es Valencia;556;632;88.0;11096;3256;188;204;92.2;289;308;93.8;75;104;72.1;0;1.4;17;50;12;3;53;Rapport de match
22/09/2019;16:30 (17:30);Premier League;Journ̩e 6;Dim;Domicile;D;1;2;Liverpool;421;546;77.1;8583;2911;171;199;85.9;158;193;81.9;81;134;60.4;1;1.1;11;28;12;8;33;Rapport de match
25/09/2019;19:45 (20:45);EFL Cup;Troisi̬me tour;Mer;Domicile;V;7;1;Grimsby Town;;;;;;;;;;;;;;;4;;;;;;;Rapport de match
28/09/2019;15:00 (16:00);Premier League;Journ̩e 7;Sam;Domicile;V;2;0;Brighton;508;601;84.5;9913;2909;196;219;89.5;239;270;88.5;67;102;65.7;1;1.9;17;32;9;1;51;Rapport de match
02/10/2019;21:00;Champions Lg;Phase de groupe;Mer;Ext̩rieur;V;2;1;fr Lille;562;658;85.4;12175;3330;174;194;89.7;277;313;88.5;105;132;79.5;2;0.9;9;39;8;5;47;Rapport de match
