Saison,Competition,90s,Goals,Assists,Touches,Crosses,SCA,SCA90,GCA,GCA90
2017-2018,Champions Lg,9.1,1,1,NaN,49,NaN,NaN,NaN,NaN
2017-2018,FA Cup,1.2,0,0,NaN,13,NaN,NaN,NaN,NaN
2017-2018,Premier League,17.5,1,1,1444,67,39,2.23,2,0.11
2018-2019,Champions Lg,10.2,0,2,831,42,32,3.13,5,0.49
2018-2019,Premier League,27.4,1,12,2492,111,83,3.03,17,0.62
2019-2020,Champions Lg,6.5,0,1,792,39,22,3.40,1,0.15
2019-2020,Community Shield,0.7,0,0,NaN,7,NaN,NaN,NaN,NaN
2019-2020,Premier League,35.3,4,13,3520,183,151,4.28,24,0.68
2019-2020,Super Cup,0.3,0,0,NaN,1,NaN,NaN,NaN,NaN
