Date,Comp,Venue,Result,GF,GA,Opponent,Attendance
2014-08-17,Premier League,Home,W,2,1,Southampton,44736
2014-08-25,Premier League,Away,L,1,3,Manchester City,45471
2014-08-31,Premier League,Away,W,3,0,Tottenham,36130
2014-09-13,Premier League,Home,L,0,1,Aston Villa,44689
2014-09-16,Champions Lg,Home,W,2,1,bg Ludogorets,43307
2014-09-20,Premier League,Away,L,1,3,West Ham,34977
2014-09-23,League Cup,Home,W,2 (14),2 (13),Middlesbrough,41857
2014-09-27,Premier League,Home,D,1,1,Everton,44511
2014-10-01,Champions Lg,Away,L,0,1,ch Basel,36000
2014-10-04,Premier League,Home,W,2,1,West Brom,44708
2014-10-19,Premier League,Away,W,3,2,QPR,18069
2014-10-22,Champions Lg,Home,L,0,3,es Real Madrid,43521
2014-10-25,Premier League,Home,D,0,0,Hull City,44591
2014-10-28,League Cup,Home,W,2,1,Swansea City,42582
2014-11-01,Premier League,Away,L,0,1,Newcastle Utd,52166
2014-11-04,Champions Lg,Away,L,0,1,es Real Madrid,75000
2014-11-08,Premier League,Home,L,1,2,Chelsea,44698
2014-11-23,Premier League,Away,L,1,3,Crystal Palace,24862
2014-11-26,Champions Lg,Away,D,2,2,bg Ludogorets,6300
2014-11-29,Premier League,Home,W,1,0,Stoke City,44735
2014-12-02,Premier League,Away,W,3,1,Leicester City,32000
2014-12-06,Premier League,Home,D,0,0,Sunderland,44716
2014-12-09,Champions Lg,Home,D,1,1,ch Basel,43290
2014-12-14,Premier League,Away,L,0,3,Manchester Utd,75331
2014-12-17,League Cup,Away,W,3,1,Bournemouth,11347
2014-12-21,Premier League,Home,D,2,2,Arsenal,44703
2014-12-26,Premier League,Away,W,1,0,Burnley,21335
2014-12-29,Premier League,Home,W,4,1,Swansea City,44714
2015-01-01,Premier League,Home,D,2,2,Leicester City,44720
2015-01-05,FA Cup,Away,W,2,1,AFC Wimbledon,4784
2015-01-10,Premier League,Away,W,1,0,Sunderland,45369
2015-01-17,Premier League,Away,W,2,0,Aston Villa,39758
2015-01-20,League Cup,Home,D,1,1,Chelsea,44573
2015-01-24,FA Cup,Home,D,0,0,Bolton,43847
2015-01-27,League Cup,Away,L,0,1,Chelsea,40659
2015-01-31,Premier League,Home,W,2,0,West Ham,44718
2015-02-04,FA Cup,Away,W,2,1,Bolton,22171
2015-02-07,Premier League,Away,D,0,0,Everton,39621
2015-02-10,Premier League,Home,W,3,2,Tottenham,44577
2015-02-14,FA Cup,Away,W,2,1,Crystal Palace,20391
2015-02-19,Europa Lg,Home,W,1,0,tr Beşiktaş,43353
2015-02-22,Premier League,Away,W,2,0,Southampton,31723
2015-02-26,Europa Lg,Away,L,0 (4),1 (5),tr Beşiktaş,63324
2015-03-01,Premier League,Home,W,2,1,Manchester City,44590
2015-03-04,Premier League,Home,W,2,0,Burnley,44717
2015-03-08,FA Cup,Home,D,0,0,Blackburn,43820
2015-03-16,Premier League,Away,W,1,0,Swansea City,20828
2015-03-22,Premier League,Home,L,1,2,Manchester Utd,44405
2015-04-04,Premier League,Away,L,1,4,Arsenal,60081
2015-04-08,FA Cup,Away,W,1,0,Blackburn,28415
2015-04-13,Premier League,Home,W,2,0,Newcastle Utd,44611
2015-04-19,FA Cup,Away,L,1,2,Aston Villa,85416
2015-04-25,Premier League,Away,D,0,0,West Brom,26663
2015-04-28,Premier League,Away,L,0,1,Hull City,24843
2015-05-02,Premier League,Home,W,2,1,QPR,44707
2015-05-10,Premier League,Away,D,1,1,Chelsea,41547
2015-05-16,Premier League,Home,L,1,3,Crystal Palace,44673
2015-05-24,Premier League,Away,L,1,6,Stoke City,27602
