Saison,Joueur,Equipe,Prix
2019/2020,Takumi Minamino,RB Salzburg,€8.50m
2019/2020,Sepp van den Berg,PEC Zwolle,€1.90m
2019/2020,Adrian,West Ham,Free transfer
2019/2020,Andy Lonergan,Middlesbrough,Free transfer
2019/2020,Nathaniel Phillips,Liverpool U23,-
2019/2020,Caoimhin Kelleher,Liverpool U23,-
2019/2020,Sheyi Ojo,Rangers,End of loan
2019/2020,Loris Karius,Besiktas,End of loan
2019/2020,Neco Williams,Liverpool U23,-
2019/2020,Nathaniel Phillips,VfB Stuttgart,End of loan
