season,contests,date_match,home_team,away_team,at_anfield,Goals,Assists,Formation,Shots,Shots On Target,Saves,Penalties won,Penalties scored,Crosses,Fouls,Offsides,Corners,Yellow Card,Red Cards,Balls touched,Passes,liverpool_score,Interceptions,Blocks,Catches,Tackles,Possession,Elo_Liverpool,Elo_Opponent,Elo_Diff,Rest_Days,liverpool_score_ft,liverpool_score_ht,opponent_score_ft,opponent_score_ht,liverpool_result_ft,liverpool_result_ht
2019 - 2020,English Premier League,2020-02-15,Norwich City,Liverpool,False,1,1,4-3-3,17,6,1,0,0,35,11,0,7,2,0,1700,560,V,4,14,3,10,60%,2083.49731445,1603,480.49731445,11,1,0,0,0,V,N
2019 - 2020,English Premier League,2020-02-24,Liverpool,West Ham United,True,3,3,4-3-3,25,7,2,0,0,41,4,2,16,0,0,1825,552,V,2,15,3,11,65%,2077.74145508,1678,399.7414550799999,6,3,1,2,1,V,N
2019 - 2020,English Premier League,2020-02-29,Watford,Liverpool,False,0,0,4-3-3,7,1,2,0,0,32,8,1,5,0,0,1848,596,D,4,18,4,4,64%,2075.89550781,1662,413.8955078099998,5,0,0,3,0,D,N
2019 - 2020,English Premier League,2020-03-07,Liverpool,AFC Bournemouth,True,2,2,4-3-3,14,6,2,0,0,36,10,1,9,0,0,1878,637,V,4,12,1,7,69%,2048.10473633,1641,407.1047363299999,4,2,2,1,1,V,V
2019 - 2020,English Premier League,2020-06-21,Everton FC,Liverpool,False,0,0,4-3-3,10,3,3,0,0,8,12,1,6,2,0,733,639,N,2,9,3,20,70,2020.29455566,1733,287.29455566,102,0,0,0,0,N,N
2019 - 2020,English Premier League,2020-06-24,Liverpool,Crystal Palace,True,4,3,4-3-3,21,7,0,0,0,18,9,0,6,0,0,1025,929,V,4,8,0,15,73,2014.28186035,1732,282.28186035,3,4,2,0,0,V,V
2019 - 2020,English Premier League,2020-07-02,Manchester City,Liverpool,False,0,0,4-3-3,11,3,2,0,0,21,7,2,3,2,0,1392,469,D,6,13,6,11,49%,2017.88659668,1970,47.88659667999991,8,0,0,4,3,D,D
2019 - 2020,English Premier League,2020-07-05,Liverpool,Aston Villa,True,2,2,4-3-3,6,4,3,0,0,32,18,1,7,1,0,1789,585,V,3,8,5,9,65%,2001.73840332,1595,406.7384033200001,3,2,0,0,0,V,N
2019 - 2020,English Premier League,2020-07-08,Brighton & Hove Albion,Liverpool,False,3,3,4-3-3,19,8,1,0,0,32,15,0,10,4,0,1371,431,V,3,17,3,8,53%,2002.9407959,1652,350.9407959,3,3,2,1,1,V,V
2019 - 2020,English Premier League,2020-07-11,Liverpool,Burnley FC,True,1,1,4-3-3,23,9,1,0,0,36,7,2,11,1,0,1968,600,N,6,12,5,5,66%,2005.79724121,1725,280.79724121000004,3,1,1,1,0,N,V
2019 - 2020,English Premier League,2020-07-15,Arsenal FC,Liverpool,False,1,1,4-3-3,24,8,0,0,0,36,10,4,13,1,0,1706,558,D,6,15,5,7,64%,1998.45800781,1800,198.45800781000003,4,1,1,2,2,D,D
2019 - 2020,English Premier League,2020-07-22,Liverpool,Chelsea,True,5,3,4-3-3,10,7,2,0,0,14,8,0,6,1,0,1356,484,V,2,10,2,7,49%,1986.60888672,1820,166.6088867200001,7,5,3,3,1,V,V
2019 - 2020,English Premier League,2020-07-26,Newcastle United FC,Liverpool,False,3,3,4-3-3,14,6,1,0,0,18,5,1,4,0,0,2059,732,V,2,9,2,4,68%,1991.13781738,1686,305.1378173799999,4,3,1,1,1,V,N
