Player,Pos,Age,90s,SCA,SCA90,Def,GCA,GCA90,Def
Virgil van Dijk\Virgil-van-Dijk,DF,28,50.0,30,0.65,3,6,0.13,1
Andrew Robertson\Andrew-Robertson,DF,25,45.1,127,3.04,5,20,0.48,0
Mohamed Salah\Mohamed-Salah,FW,27,43.0,150,3.74,2,21,0.52,0
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,20,42.8,174,4.17,1,25,0.60,0
Roberto Firmino\Roberto-Firmino,FWMF,27,42.2,124,3.09,3,25,0.62,0
Georginio Wijnaldum\Georginio-Wijnaldum,MF,28,40.7,59,1.52,2,3,0.08,0
Sadio Mané\Sadio-Mane,FW,27,39.7,143,3.81,4,20,0.53,1
Joe Gomez\Joe-Gomez,DF,22,35.0,19,0.68,0,4,0.14,0
Alisson\Alisson,GK,26,34.6,7,0.21,0,1,0.03,0
Jordan Henderson\Jordan-Henderson,MF,29,32.7,59,1.93,0,8,0.26,0
Fabinho\Fabinho,MF,25,32.5,45,1.58,4,5,0.18,0
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,MFFW,25,22.8,52,2.65,1,5,0.25,0
James Milner\James-Milner,MFDF,33,18.4,40,2.66,0,5,0.33,0
Adrián\Adrian,GK,32,17.4,2,0.15,0,0,0.00,0
Divock Origi\Divock-Origi,FW,24,15.2,28,2.78,0,4,0.40,0
Naby Keïta\Naby-Keita,MFFW,24,13.7,46,3.89,0,6,0.51,0
Dejan Lovren\Dejan-Lovren,DF,30,13.2,8,0.71,0,2,0.18,0
Joël Matip\Joel-Matip,DF,27,11.6,5,0.57,0,0,0.00,0
Adam Lallana\Adam-Lallana,FWMF,31,8.9,9,2.12,0,1,0.24,0
Neco Williams\Neco-Williams,DF,18,7.9,4,1.57,0,0,0.00,0
Curtis Jones\Curtis-Jones,MF,18,6.9,3,2.14,0,1,0.71,0
Harvey Elliot\Harvey-Elliot,MF,16,6.1,0,0.00,0,0,0.00,0
Takumi Minamino\Takumi-Minamino,MF,24,5.6,3,1.05,0,0,0.00,0
Pedro Chirivella\Pedro-Chirivella,MF,22,4.8,,,,,,
