Saison,Joueur,Equipe,Prix
2015/2016,Christian Benteke,Aston Villa,Ä46.50m
2015/2016,Roberto Firmino,TSG Hoffenheim,Ä41.00m
2015/2016,Nathaniel Clyne,Southampton,Ä17.70m
2015/2016,Danny Ings,Burnley,Ä8.30m
2015/2016,Marko Grujic,Red Star,Ä7.00m
2015/2016,Joe Gomez,Charlton,Ä4.90m
2015/2016,Taiwo Awoniyi,Imperial Acad.,Ä1.10m
2015/2016,√Åd√°m Bogd√°n,Bolton,Free transfer
2015/2016,James Milner,Man City,Free transfer
2015/2016,Steven Caulker,QPR,Loan
2015/2016,Connor Randall,Liverpool U23,-
2015/2016,Sheyi Ojo,Liverpool U18,-
2015/2016,Lawrence Vigouroux,Swindon Town,End of loan
2015/2016,Andre Wisdom,Norwich,End of loan
2015/2016,Brad Smith,Liverpool U23,-
2015/2016,Tiago Ilori,Aston Villa,End of loan
2015/2016,Sheyi Ojo,Wolves,End of loan
2015/2016,Kevin Stewart,Swindon Town,End of loan
2015/2016,Danny Ward,Aberdeen FC,End of loan
