Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2019-08-04,15:00 (16:00),Community Shield,FA Community Shield,Sun,Neutral,L,1 (4),1 (5),Manchester City,,,,,,,,,,,,,,,1,,,,,,
2019-08-09,20:00 (21:00),Premier League,Matchweek 1,Fri,Home,W,4,1,Norwich City,409,521,78.5,8640,2649,128,150,85.3,204,243,84.0,72,109,66.1,3,1.5,10,36,16,3,51
2019-08-14,22:00 (21:00),Super Cup,UEFA Super Cup,Wed,Home,W,2 (5),2 (4),eng Chelsea,,,,,,,,,,,,,,,1,,,,,,
2019-08-17,15:00 (16:00),Premier League,Matchweek 2,Sat,Away,W,2,1,Southampton,442,565,78.2,9486,2842,152,183,83.1,192,228,84.2,91,131,69.5,2,1.2,11,33,11,2,39
2019-08-24,17:30 (18:30),Premier League,Matchweek 3,Sat,Home,W,3,1,Arsenal,492,578,85.1,10153,3128,186,202,92.1,197,222,88.7,95,129,73.6,2,1.3,19,59,16,5,48
2019-08-31,17:30 (18:30),Premier League,Matchweek 4,Sat,Away,W,3,0,Burnley,448,581,77.1,9158,2948,150,172,87.2,212,249,85.1,76,139,54.7,2,0.9,11,28,10,0,49
2019-09-14,12:30 (13:30),Premier League,Matchweek 5,Sat,Home,W,3,1,Newcastle Utd,769,866,88.8,15287,4104,302,327,92.4,355,384,92.4,106,133,79.7,2,1.5,17,80,19,3,74
2019-09-17,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,it Napoli,509,608,83.7,10592,2956,197,216,91.2,215,239,90.0,95,137,69.3,0,0.6,10,47,12,4,39
2019-09-22,16:30 (17:30),Premier League,Matchweek 6,Sun,Away,W,2,1,Chelsea,319,439,72.7,6640,2452,127,152,83.6,128,152,84.2,61,115,53.0,2,0.9,6,27,7,4,36
2019-09-25,19:45 (20:45),EFL Cup,Third round,Wed,Away,W,2,0,MK Dons,,,,,,,,,,,,,,,1,,,,,,
2019-09-28,12:30 (13:30),Premier League,Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,612,720,85.0,12905,3585,207,230,90.0,296,320,92.5,102,148,68.9,0,1.0,6,45,14,0,48
2019-10-02,20:00 (21:00),Champions Lg,Group stage,Wed,Home,W,4,3,at RB Salzburg,665,793,83.9,14114,4725,250,287,87.1,293,325,90.2,115,161,71.4,3,1.9,10,53,10,3,53
2019-10-05,15:00 (16:00),Premier League,Matchweek 8,Sat,Home,W,2,1,Leicester City,421,542,77.7,8921,3200,161,182,88.5,165,202,81.7,88,138,63.8,1,2.0,15,36,10,4,40
2019-10-20,16:30 (17:30),Premier League,Matchweek 9,Sun,Away,D,1,1,Manchester Utd,551,651,84.6,11226,3399,184,207,88.9,272,301,90.4,89,127,70.1,1,1.1,9,40,9,2,38
2019-10-23,21:00,Champions Lg,Group stage,Wed,Away,W,4,1,be Genk,705,801,88.0,14191,3997,273,300,91.0,309,340,90.9,120,146,82.2,4,1.1,11,65,17,2,68
2019-10-27,16:30 (17:30),Premier League,Matchweek 10,Sun,Home,W,2,1,Tottenham,549,659,83.3,12234,3448,185,200,92.5,241,276,87.3,118,164,72.0,0,1.4,16,57,19,6,45
2019-10-30,19:30 (20:30),EFL Cup,Fourth round,Wed,Home,W,5 (5),5 (4),Arsenal,,,,,,,,,,,,,,,3,,,,,,
2019-11-02,15:00 (16:00),Premier League,Matchweek 11,Sat,Away,W,2,1,Aston Villa,569,685,83.1,10407,3335,261,282,92.6,229,259,88.4,70,119,58.8,2,2.3,20,49,19,3,57
2019-11-05,20:00 (21:00),Champions Lg,Group stage,Tue,Home,W,2,1,be Genk,718,838,85.7,14399,4353,265,292,90.8,336,372,90.3,105,145,72.4,1,1.3,20,67,19,3,70
2019-11-10,16:30 (17:30),Premier League,Matchweek 12,Sun,Home,W,3,1,Manchester City,350,457,76.6,7773,2614,126,140,90.0,149,182,81.9,71,120,59.2,2,0.9,8,16,10,3,24
2019-11-23,15:00 (16:00),Premier League,Matchweek 13,Sat,Away,W,2,1,Crystal Palace,435,537,81.0,8885,2837,155,173,89.6,204,232,87.9,70,113,61.9,1,1.1,8,37,9,1,42
2019-11-27,20:00 (21:00),Champions Lg,Group stage,Wed,Home,D,1,1,it Napoli,686,791,86.7,14621,3905,239,264,90.5,307,329,93.3,134,176,76.1,1,0.5,8,82,12,4,59
