Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2018-03-06,19:45 (20:45),Champions Lg,Round of 16,Tue,Home,D,0,0,pt Porto,,,,,,,,,,,,,,,0,,,,,,
2018-03-10,12:30 (13:30),Premier League,Matchweek 30,Sat,Away,L,1,2,Manchester Utd,498,620,80.3,8698,3003,237,267,88.8,203,242,83.9,52,95,54.7,0,0.8,13,49,13,0,56
2018-03-17,17:30 (18:30),Premier League,Matchweek 31,Sat,Home,W,5,0,Watford,487,610,79.8,10075,3111,166,196,84.7,241,279,86.4,72,115,62.6,4,2.1,8,34,14,2,48
2018-03-31,12:30 (13:30),Premier League,Matchweek 32,Sat,Away,W,2,1,Crystal Palace,560,688,81.4,11323,3331,200,231,86.6,267,306,87.3,89,130,68.5,2,1.1,12,49,13,1,53
2018-04-04,19:45 (20:45),Champions Lg,Quarter-finals,Wed,Home,W,3,0,eng Manchester City,,,,,,,,,,,,,,,3,,,,,,
2018-04-07,12:30 (13:30),Premier League,Matchweek 33,Sat,Away,D,0,0,Everton,485,617,78.6,9626,3033,171,195,87.7,236,276,85.5,74,127,58.3,0,0.3,7,37,11,1,40
2018-04-10,19:45 (20:45),Champions Lg,Quarter-finals,Tue,Away,W,2,1,eng Manchester City,,,,,,,,,,,,,,,0,,,,,,
2018-04-14,17:30 (18:30),Premier League,Matchweek 34,Sat,Home,W,3,0,Bournemouth,537,638,84.2,10433,3070,195,218,89.4,262,291,90.0,71,113,62.8,2,1.7,17,49,21,2,55
2018-04-21,12:30 (13:30),Premier League,Matchweek 35,Sat,Away,D,2,2,West Brom,498,600,83.0,10458,3404,165,193,85.5,249,278,89.6,78,110,70.9,2,1.3,8,41,12,2,52
2018-04-24,19:45 (20:45),Champions Lg,Semi-finals,Tue,Home,W,5,2,it Roma,,,,,,,,,,,,,,,5,,,,,,
2018-04-28,12:30 (13:30),Premier League,Matchweek 36,Sat,Home,D,0,0,Stoke City,540,677,79.8,11386,3416,176,209,84.2,250,283,88.3,106,161,65.8,0,1.6,14,56,20,4,59
2018-05-02,20:45,Champions Lg,Semi-finals,Wed,Away,L,2,4,it Roma,,,,,,,,,,,,,,,1,,,,,,
2018-05-06,16:30 (17:30),Premier League,Matchweek 37,Sun,Away,L,0,1,Chelsea,677,788,85.9,13857,3944,219,241,90.9,350,387,90.4,102,139,73.4,0,0.8,10,62,18,4,65
2018-05-13,15:00 (16:00),Premier League,Matchweek 38,Sun,Home,W,4,0,Brighton,658,744,88.4,12391,3906,257,270,95.2,303,325,93.2,81,119,68.1,2,2.3,14,65,22,3,65
2018-05-26,21:45 (20:45),Champions Lg,Final,Sat,Neutral,L,1,3,es Real Madrid,,,,,,,,,,,,,,,1,,,,,,
