Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2018-02-25,21:00,Ligue 1,Matchweek 27,Sun,Home,W,3,0,Marseille,407,473,86.0,7629,2323,179,202,88.6,157,174,90.2,60,77,77.9,1,0.7,6,17,7,2,28
2018-02-28,21:05,Coupe de France,Quarter-finals,Wed,Home,W,3,0,Marseille,,,,,,,,,,,,,,,3,,,,,,
2018-03-03,17:00,Ligue 1,Matchweek 28,Sat,Away,W,2,0,Troyes,722,808,89.4,12382,3394,334,359,93.0,272,293,92.8,87,114,76.3,2,1.8,15,53,17,6,38
2018-03-06,20:45,Champions Lg,Round of 16,Tue,Home,L,1,2,es Real Madrid,,,,,,,,,,,,,,,0,,,,,,
2018-03-10,17:00,Ligue 1,Matchweek 29,Sat,Home,W,5,0,Metz,513,582,88.1,8845,2993,240,261,92.0,216,242,89.3,46,60,76.7,4,3.3,15,35,14,1,55
2018-03-14,17:00,Ligue 1,Matchweek 31,Wed,Home,W,2,1,Angers,657,722,91.0,11598,3452,305,321,95.0,290,307,94.5,60,80,75.0,2,1.3,12,43,11,3,50
2018-03-18,13:00,Ligue 1,Matchweek 30,Sun,Away,W,2,1,Nice,529,592,89.4,8877,2476,274,288,95.1,197,217,90.8,51,70,72.9,2,1.5,13,45,17,7,34
2018-03-31,21:05,Coupe de la Ligue,Final stage,Sat,Neutral,W,3,0,Monaco,,,,,,,,,,,,,,,2,,,,,,
2018-04-06,20:45,Ligue 1,Matchweek 32,Fri,Away,D,1,1,Saint-Étienne,421,496,84.9,7617,2178,182,203,89.7,170,190,89.5,55,78,70.5,0,1.2,7,40,5,1,33
2018-04-15,21:00,Ligue 1,Matchweek 33,Sun,Home,W,7,1,Monaco,491,557,88.2,8638,2773,238,256,93.0,190,211,90.0,57,74,77.0,6,2.3,11,21,12,2,38
2018-04-18,21:05,Coupe de France,Semi-finals,Wed,Away,W,3,1,Caen,,,,,,,,,,,,,,,3,,,,,,
2018-04-22,21:00,Ligue 1,Matchweek 34,Sun,Away,W,1,0,Bordeaux,542,613,88.4,10168,2678,217,234,92.7,250,269,92.9,66,95,69.5,1,0.8,8,33,8,3,37
2018-04-29,21:00,Ligue 1,Matchweek 35,Sun,Home,D,2,2,Guingamp,521,610,85.4,9656,3414,218,241,90.5,216,246,87.8,74,101,73.3,1,1.4,9,32,16,3,47
2018-05-04,20:45,Ligue 1,Matchweek 36,Fri,Away,D,2,2,Amiens,543,648,83.8,9917,3427,248,275,90.2,220,251,87.6,65,94,69.1,2,2.3,19,37,22,4,63
2018-05-08,21:05,Coupe de France,Final,Tue,Neutral,W,2,0,Les Herbiers,,,,,,,,,,,,,,,1,,,,,,
2018-05-12,21:00,Ligue 1,Matchweek 37,Sat,Home,L,0,2,Rennes,490,568,86.3,9027,2357,195,218,89.4,230,253,90.9,56,81,69.1,0,0.6,9,41,6,1,37
2018-05-19,21:00,Ligue 1,Matchweek 38,Sat,Away,D,0,0,Caen,684,757,90.4,11821,3277,301,322,93.5,312,328,95.1,58,80,72.5,0,1.0,7,51,12,2,54
