Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2020-06-16,20:30,Bundesliga,Matchweek 32,Tue,Away,W,1,0,Werder Bremen,588,706,83.3,11797,3403,197,234,84.2,280,316,88.6,97,131,74.0,1,1.0,11,72,23,5,62
2020-06-20,15:30,Bundesliga,Matchweek 33,Sat,Home,W,3,1,Freiburg,578,677,85.4,12077,3463,196,212,92.5,271,304,89.1,103,140,73.6,2,1.6,18,47,20,3,58
2020-06-27,15:30,Bundesliga,Matchweek 34,Sat,Away,W,4,0,Wolfsburg,457,548,83.4,9496,3194,166,190,87.4,197,219,90.0,85,118,72.0,2,1.9,11,36,12,2,46
2020-07-04,20:00,DFB-Pokal,Final,Sat,Away,W,4,2,Leverkusen,,,,,,,,,,,,,,,3,,,,,,
2020-08-08,21:00,Champions Lg,Round of 16,Sat,Home,W,4,1,eng Chelsea,596,678,87.9,12543,3726,188,211,89.1,289,314,92.0,108,133,81.2,3,2.1,15,39,15,4,51
2020-08-14,20:00 (21:00),Champions Lg,Quarter-finals,Fri,Neutral,W,8,2,es Barcelona,403,476,84.7,8201,2663,161,181,89.0,167,187,89.3,69,93,74.2,8,3.1,17,31,15,1,46
2020-08-19,20:00 (21:00),Champions Lg,Semi-finals,Wed,Away,W,3,0,fr Lyon,592,692,85.5,11708,3340,206,237,86.9,291,312,93.3,83,121,68.6,3,2.5,13,33,15,1,45
2020-08-23,20:00 (21:00),Champions Lg,Final,Sun,Away,W,1,0,fr Paris S-G,476,572,83.2,9844,3005,172,195,88.2,218,244,89.3,79,120,65.8,1,0.7,8,41,10,3,39
2018-05-04,20:45,Ligue 1,Matchweek 36,Fri,Away,D,2,2,Amiens,543,648,83.8,9917,3427,248,275,90.2,220,251,87.6,65,94,69.1,2,2.3,19,37,22,4,63
2018-05-08,21:05,Coupe de France,Final,Tue,Neutral,W,2,0,Les Herbiers,,,,,,,,,,,,,,,1,,,,,,
2018-05-12,21:00,Ligue 1,Matchweek 37,Sat,Home,L,0,2,Rennes,490,568,86.3,9027,2357,195,218,89.4,230,253,90.9,56,81,69.1,0,0.6,9,41,6,1,37
2018-05-19,21:00,Ligue 1,Matchweek 38,Sat,Away,D,0,0,Caen,684,757,90.4,11821,3277,301,322,93.5,312,328,95.1,58,80,72.5,0,1.0,7,51,12,2,54
