Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2017-08-06,14:00 (15:00),Community Shield,FA Community Shield,Sun,Neutral,L,1 (1),1 (4),Arsenal,,,,,,,,,,,,,,,1,,,,,,
2017-08-12,15:00 (16:00),Premier League,Matchweek 1,Sat,Home,L,2,3,Burnley,455,561,81.1,8908,2522,172,193,89.1,188,217,86.6,79,123,64.2,2,0.8,13,38,4,1,37
2017-08-20,16:00 (17:00),Premier League,Matchweek 2,Sun,Away,W,2,1,Tottenham,210,309,68.0,4827,1981,65,82,79.3,96,119,80.7,46,98,46.9,1,0.7,9,14,7,2,17
2017-08-27,13:30 (14:30),Premier League,Matchweek 3,Sun,Home,W,2,0,Everton,528,630,83.8,10448,3143,196,221,88.7,238,267,89.1,84,125,67.2,2,0.9,15,40,8,1,43
2017-09-09,15:00 (16:00),Premier League,Matchweek 4,Sat,Away,W,2,1,Leicester City,420,520,80.8,8646,2591,149,176,84.7,204,231,88.3,63,98,64.3,2,1.2,14,35,14,2,50
2017-09-12,19:45 (20:45),Champions Lg,Group stage,Tue,Home,W,6,0,az Qarabağ FK,,,,,,,,,,,,,,,4,,,,,,
2017-09-17,13:30 (14:30),Premier League,Matchweek 5,Sun,Home,D,0,0,Arsenal,410,540,75.9,8992,2685,120,153,78.4,203,238,85.3,79,124,63.7,0,0.5,8,35,7,1,42
2017-09-20,19:45 (20:45),EFL Cup,Third round,Wed,Home,W,5,1,Nott'ham Forest,,,,,,,,,,,,,,,3,,,,,,
2017-09-23,15:00 (16:00),Premier League,Matchweek 6,Sat,Away,W,4,0,Stoke City,449,544,82.5,8430,2722,160,190,84.2,237,263,90.1,44,76,57.9,3,0.9,5,23,6,0,25
2017-09-27,20:45,Champions Lg,Group stage,Wed,Away,W,2,1,es Atlético Madrid,,,,,,,,,,,,,,,2,,,,,,
2017-09-30,17:30 (18:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Manchester City,323,425,76.0,6197,2263,128,151,84.8,139,169,82.2,45,80,56.3,0,0.3,3,20,5,1,27
2017-10-14,15:00 (16:00),Premier League,Matchweek 8,Sat,Away,L,1,2,Crystal Palace,474,604,78.5,10207,3199,167,194,86.1,198,250,79.2,108,142,76.1,1,0.7,11,43,5,1,47
2017-10-18,19:45 (20:45),Champions Lg,Group stage,Wed,Home,D,3,3,it Roma,,,,,,,,,,,,,,,1,,,,,,
2017-10-21,12:30 (13:30),Premier League,Matchweek 9,Sat,Home,W,4,2,Watford,379,475,79.8,7284,2470,160,180,88.9,148,175,84.6,63,107,58.9,3,0.6,8,29,4,1,27
2017-10-25,19:45 (20:45),EFL Cup,Fourth round,Wed,Home,W,2,1,Everton,,,,,,,,,,,,,,,2,,,,,,
2017-10-28,17:30 (18:30),Premier League,Matchweek 10,Sat,Away,W,1,0,Bournemouth,576,680,84.7,11309,3352,225,249,90.4,241,271,88.9,98,135,72.6,1,1.0,13,39,20,4,57
2017-10-31,20:45,Champions Lg,Group stage,Tue,Away,L,0,3,it Roma,,,,,,,,,,,,,,,0,,,,,,
2017-11-05,16:30 (17:30),Premier League,Matchweek 11,Sun,Home,W,1,0,Manchester Utd,380,488,77.9,7192,2834,164,187,87.7,159,194,82.0,52,92,56.5,1,0.7,13,37,9,3,44
2017-11-18,15:00 (16:00),Premier League,Matchweek 12,Sat,Away,W,4,0,West Brom,531,626,84.8,10798,3288,190,218,87.2,244,266,91.7,93,126,73.8,3,1.5,8,41,8,3,53
2017-11-22,21:00 (18:00),Champions Lg,Group stage,Wed,Away,W,4,0,az Qarabağ FK,,,,,,,,,,,,,,,2,,,,,,
2017-11-25,17:30 (18:30),Premier League,Matchweek 13,Sat,Away,D,1,1,Liverpool,412,519,79.4,8135,2932,164,184,89.1,190,217,87.6,57,101,56.4,1,0.6,11,27,10,4,37
2017-11-29,19:45 (20:45),Premier League,Matchweek 14,Wed,Home,W,1,0,Swansea City,516,636,81.1,9869,2852,213,236,90.3,212,247,85.8,78,116,67.2,0,0.8,15,46,15,2,58
2017-12-02,12:30 (13:30),Premier League,Matchweek 15,Sat,Home,W,3,1,Newcastle Utd,647,771,83.9,12386,3594,218,248,87.9,342,384,89.1,74,109,67.9,1,1.8,15,41,19,3,64
2017-12-05,19:45 (20:45),Champions Lg,Group stage,Tue,Home,D,1,1,es Atlético Madrid,,,,,,,,,,,,,,,0,,,,,,
2017-12-09,12:30 (13:30),Premier League,Matchweek 16,Sat,Away,L,0,1,West Ham,595,706,84.3,10920,3306,233,265,87.9,258,296,87.2,81,113,71.7,0,0.6,12,50,12,1,60
2017-12-12,20:00 (21:00),Premier League,Matchweek 17,Tue,Away,W,3,1,Huddersfield,705,793,88.9,13442,3449,262,286,91.6,362,397,91.2,72,95,75.8,3,1.1,9,70,13,5,59
2017-12-16,15:00 (16:00),Premier League,Matchweek 18,Sat,Home,W,1,0,Southampton,485,584,83.0,9894,3004,167,198,84.3,222,245,90.6,87,116,75.0,0,1.0,19,42,14,3,50
2017-12-20,19:45 (20:45),EFL Cup,Quarter-finals,Wed,Home,W,2,1,Bournemouth,,,,,,,,,,,,,,,2,,,,,,
2017-12-23,12:30 (13:30),Premier League,Matchweek 19,Sat,Away,D,0,0,Everton,608,749,81.2,11788,3367,244,283,86.2,273,314,86.9,84,130,64.6,0,0.6,14,54,12,0,56
2017-12-26,15:00 (16:00),Premier League,Matchweek 20,Tue,Home,W,2,0,Brighton,634,731,86.7,12564,3610,218,252,86.5,327,355,92.1,84,113,74.3,2,2.1,21,62,15,2,72
2017-12-30,15:00 (16:00),Premier League,Matchweek 21,Sat,Home,W,5,0,Stoke City,611,690,88.6,10790,3432,272,293,92.8,279,299,93.3,51,79,64.6,2,1.4,16,50,5,1,54
