Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2019-08-11,16:30 (17:30),Premier League,Matchweek 1,Sun,Away,L,0,4,Manchester Utd,470,564,83.3,8722,2338,207,231,89.6,187,217,86.2,64,96,66.7,0,0.6,15,30,6,2,34
2019-08-14,22:00 (21:00),Super Cup,UEFA Super Cup,Wed,Away,L,2 (4),2 (5),eng Liverpool,,,,,,,,,,,,,,,1,,,,,,
2019-08-18,16:30 (17:30),Premier League,Matchweek 2,Sun,Home,D,1,1,Leicester City,374,476,78.6,7346,2403,146,168,86.9,155,185,83.8,60,98,61.2,0,0.9,10,28,8,3,28
2019-08-24,12:30 (13:30),Premier League,Matchweek 3,Sat,Away,W,3,2,Norwich City,487,579,84.1,9587,2696,189,207,91.3,217,241,90.0,76,111,68.5,3,1.9,21,41,16,4,45
2019-08-31,15:00 (16:00),Premier League,Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,651,756,86.1,12851,3375,246,272,90.4,302,337,89.6,99,135,73.3,0,1.2,9,29,3,2,33
2019-09-14,15:00 (16:00),Premier League,Matchweek 5,Sat,Away,W,5,2,Wolves,502,584,86.0,9881,3047,188,207,90.8,231,254,90.9,73,104,70.2,3,1.4,11,26,9,0,29
2019-09-17,20:00 (21:00),Champions Lg,Group stage,Tue,Home,L,0,1,es Valencia,556,632,88.0,11096,3256,188,204,92.2,289,308,93.8,75,104,72.1,0,1.4,17,50,12,3,53
2019-09-22,16:30 (17:30),Premier League,Matchweek 6,Sun,Home,L,1,2,Liverpool,421,546,77.1,8583,2911,171,199,85.9,158,193,81.9,81,134,60.4,1,1.1,11,28,12,8,33
2019-09-25,19:45 (20:45),EFL Cup,Third round,Wed,Home,W,7,1,Grimsby Town,,,,,,,,,,,,,,,4,,,,,,
2019-09-28,15:00 (16:00),Premier League,Matchweek 7,Sat,Home,W,2,0,Brighton,508,601,84.5,9913,2909,196,219,89.5,239,270,88.5,67,102,65.7,1,1.9,17,32,9,1,51
2019-10-02,21:00,Champions Lg,Group stage,Wed,Away,W,2,1,fr Lille,562,658,85.4,12175,3330,174,194,89.7,277,313,88.5,105,132,79.5,2,0.9,9,39,8,5,47
2019-10-06,14:00 (15:00),Premier League,Matchweek 8,Sun,Away,W,4,1,Southampton,422,549,76.9,8309,2694,157,186,84.4,203,240,84.6,55,100,55.0,4,1.9,13,34,9,0,33
2019-10-19,15:00 (16:00),Premier League,Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,574,672,85.4,11528,2660,217,237,91.6,256,290,88.3,92,127,72.4,1,1.3,12,53,13,1,32
2019-10-23,18:55,Champions Lg,Group stage,Wed,Away,W,1,0,nl Ajax,396,488,81.1,7768,2701,174,200,87.0,148,176,84.1,65,96,67.7,1,1.4,14,33,4,1,32
2019-10-26,17:30 (18:30),Premier League,Matchweek 10,Sat,Away,W,4,2,Burnley,599,703,85.2,10845,3132,270,293,92.2,252,288,87.5,67,99,67.7,3,0.4,10,28,12,2,35
2019-10-30,20:05 (21:05),EFL Cup,Fourth round,Wed,Home,L,1,2,Manchester Utd,,,,,,,,,,,,,,,0,,,,,,
2019-11-02,17:30 (18:30),Premier League,Matchweek 11,Sat,Away,W,2,1,Watford,721,807,89.3,13171,3251,313,338,92.6,317,345,91.9,82,109,75.2,2,1.9,12,30,8,0,27
2019-11-05,20:00 (21:00),Champions Lg,Group stage,Tue,Home,D,4,4,nl Ajax,355,454,78.2,7256,2319,143,171,83.6,147,171,86.0,60,94,63.8,1,1.5,16,25,13,4,28
2019-11-09,12:30 (13:30),Premier League,Matchweek 12,Sat,Home,W,2,0,Crystal Palace,524,610,85.9,10675,2975,191,210,91.0,253,281,90.0,76,105,72.4,1,1.7,14,49,11,2,53
2019-11-23,17:30 (18:30),Premier League,Matchweek 13,Sat,Away,L,1,2,Manchester City,582,660,88.2,10914,2602,230,249,92.4,278,298,93.3,67,100,67.0,1,0.9,7,29,8,0,33
2019-11-27,18:55,Champions Lg,Group stage,Wed,Away,D,2,2,es Valencia,403,476,84.7,7875,2885,179,200,89.5,158,173,91.3,60,92,65.2,1,2.2,13,20,19,7,43
