Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2020-02-22,12:30 (13:30),Premier League,Matchweek 27,Sat,Away,L,1,2,Chelsea,488,602,81.1,8761,2749,228,256,89.1,190,227,83.7,56,84,66.7,0,0.4,4,26,2,1,25
2020-03-01,14:00 (15:00),Premier League,Matchweek 28,Sun,Home,L,2,3,Wolves,538,646,83.3,10577,3042,210,233,90.1,245,282,86.9,74,110,67.3,1,0.6,8,34,12,6,36
2020-03-04,19:45 (20:45),FA Cup,Fifth round,Wed,Home,L,1 (2),1 (3),Norwich City,,,,,,,,,,,,,,,1,,,,,,
2020-03-07,17:30 (18:30),Premier League,Matchweek 29,Sat,Away,D,1,1,Burnley,384,509,75.4,7224,2330,162,188,86.2,162,186,87.1,51,113,45.1,0,0.3,7,27,7,1,36
2020-03-10,21:00,Champions Lg,Round of 16,Tue,Away,L,0,3,de RB Leipzig,393,510,77.1,7186,2497,166,193,86.0,184,212,86.8,36,78,46.2,0,0.3,4,25,4,1,30
2020-06-19,20:15 (21:15),Premier League,Matchweek 30,Fri,Home,D,1,1,Manchester Utd,295,406,72.7,5748,2199,122,143,85.3,123,159,77.4,45,88,51.1,1,0.2,6,21,5,1,25
2020-06-23,20:15 (21:15),Premier League,Matchweek 31,Tue,Home,W,2,0,West Ham,592,697,84.9,11220,3409,219,246,89.0,294,322,91.3,66,103,64.1,1,1.5,14,48,18,3,62
2020-07-02,18:00 (19:00),Premier League,Matchweek 32,Thu,Away,L,1,3,Sheffield Utd,564,691,81.6,11397,3201,213,240,88.8,257,295,87.1,84,127,66.1,1,0.9,5,36,8,1,42
2020-07-06,20:00 (21:00),Premier League,Matchweek 33,Mon,Home,W,1,0,Everton,366,463,79.0,7161,2148,151,167,90.4,144,168,85.7,57,94,60.6,0,0.2,6,29,4,0,27
2020-07-09,18:00 (19:00),Premier League,Matchweek 34,Thu,Away,D,0,0,Bournemouth,440,537,81.9,8832,2451,182,202,90.1,174,195,89.2,77,118,65.3,0,0.3,4,26,13,0,40
2020-07-12,16:30 (17:30),Premier League,Matchweek 35,Sun,Home,W,2,1,Arsenal,315,404,78.0,6637,2300,119,132,90.2,135,158,85.4,57,101,56.4,1,1.2,13,27,4,0,16
2020-07-15,18:00 (19:00),Premier League,Matchweek 36,Wed,Away,W,3,1,Newcastle Utd,409,494,82.8,7555,2527,181,199,91.0,158,184,85.9,57,90,63.3,2,0.8,6,27,7,2,26
2020-07-19,16:00 (17:00),Premier League,Matchweek 37,Sun,Home,W,3,0,Leicester City,213,304,70.1,4552,1670,89,105,84.8,71,85,83.5,48,92,52.2,2,0.5,7,9,4,1,15
2020-07-26,16:00 (17:00),Premier League,Matchweek 38,Sun,Away,D,1,1,Crystal Palace,418,515,81.2,8468,2850,175,195,89.7,172,203,84.7,66,103,64.1,1,0.4,4,30,4,1,28
