Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2017-08-05,20:30,DFL-Supercup,DFL-Supercup,Sat,Away,W,2 (5),2 (4),Dortmund,,,,,,,,,,,,,,,1,,,,,,
2017-08-12,15:30,DFB-Pokal,First round,Sat,Away,W,5,0,Chemnitzer FC,,,,,,,,,,,,,,,3,,,,,,
2017-08-18,20:30,Bundesliga,Matchweek 1,Fri,Home,W,3,1,Leverkusen,429,517,83.0,8526,2984,167,199,83.9,200,228,87.7,60,85,70.6,2,1.1,8,31,13,3,38
2017-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,W,2,0,Werder Bremen,662,766,86.4,12784,3745,283,324,87.3,280,304,92.1,93,129,72.1,2,1.5,15,58,15,3,60
2017-09-09,18:30,Bundesliga,Matchweek 3,Sat,Away,L,0,2,Hoffenheim,590,714,82.6,12341,3675,207,243,85.2,271,322,84.2,111,147,75.5,0,1.3,17,65,17,5,65
2017-09-12,20:45,Champions Lg,Group stage,Tue,Home,W,3,0,be Anderlecht,,,,,,,,,,,,,,,2,,,,,,
2017-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,W,4,0,Mainz 05,684,774,88.4,14674,4383,226,251,90.0,320,347,92.2,131,161,81.4,4,4.0,24,60,21,2,62
2017-09-19,20:30,Bundesliga,Matchweek 5,Tue,Away,W,3,0,Schalke 04,642,750,85.6,12665,3576,230,261,88.1,313,352,88.9,96,132,72.7,2,1.5,12,53,14,3,48
2017-09-22,20:30,Bundesliga,Matchweek 6,Fri,Home,D,2,2,Wolfsburg,525,622,84.4,11179,3476,172,195,88.2,251,286,87.8,99,136,72.8,1,1.7,14,52,12,3,57
2017-09-27,20:45,Champions Lg,Group stage,Wed,Away,L,0,3,fr Paris S-G,,,,,,,,,,,,,,,0,,,,,,
