Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2017-08-13,13:30 (14:30),Premier League,Matchweek 1,Sun,Away,W,2,0,Newcastle Utd,649,747,86.9,12832,3226,218,245,89.0,325,349,93.1,97,133,72.9,2,1.2,12,55,13,1,49
2017-08-20,16:00 (17:00),Premier League,Matchweek 2,Sun,Home,L,1,2,Chelsea,535,645,82.9,11265,3821,158,183,86.3,278,308,90.3,91,132,68.9,0,0.5,13,57,11,0,59
2017-08-27,16:00 (17:00),Premier League,Matchweek 3,Sun,Home,D,1,1,Burnley,520,625,83.2,10448,3246,209,236,88.6,212,237,89.5,91,129,70.5,0,1.3,18,44,15,2,51
2017-09-09,15:00 (16:00),Premier League,Matchweek 4,Sat,Away,W,3,0,Everton,388,505,76.8,7797,2643,149,176,84.7,166,192,86.5,66,118,55.9,2,1.0,10,31,16,5,35
2017-09-13,19:45 (20:45),Champions Lg,Group stage,Wed,Home,W,3,1,de Dortmund,,,,,,,,,,,,,,,3,,,,,,
2017-09-16,17:30 (18:30),Premier League,Matchweek 5,Sat,Home,D,0,0,Swansea City,692,806,85.9,12912,3434,284,309,91.9,290,326,89.0,100,138,72.5,0,1.4,20,67,17,3,48
2017-09-19,20:00 (21:00),EFL Cup,Third round,Tue,Home,W,1,0,Barnsley,,,,,,,,,,,,,,,1,,,,,,
2017-09-23,12:30 (13:30),Premier League,Matchweek 6,Sat,Away,W,3,2,West Ham,306,423,72.3,5996,2207,107,134,79.9,146,177,82.5,43,92,46.7,1,1.1,10,25,5,1,42
2017-09-26,21:45 (20:45),Champions Lg,Group stage,Tue,Away,W,3,0,cy APOEL FC,,,,,,,,,,,,,,,3,,,,,,
2017-09-30,12:30 (13:30),Premier League,Matchweek 7,Sat,Away,W,4,0,Huddersfield,473,586,80.7,9258,3219,171,196,87.2,230,260,88.5,65,109,59.6,3,1.7,13,40,11,2,39
