Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2019-08-03,19:30 (13:30),Trophée des Champions,Trophée des Champions,Sat,Neutral,W,2,1,Rennes,,,,,,,,,,,,,,,1,,,,,,
2019-08-11,21:00,Ligue 1,Matchweek 1,Sun,Home,W,3,0,Nîmes,738,803,91.9,13054,3357,326,354,92.1,334,349,95.7,65,78,83.3,2,2.0,8,84,13,1,54
2019-08-18,21:00,Ligue 1,Matchweek 2,Sun,Away,L,1,2,Rennes,566,655,86.4,10326,2957,243,262,92.7,255,286,89.2,62,88,70.5,0,0.4,5,40,10,3,38
2019-08-25,21:00,Ligue 1,Matchweek 3,Sun,Home,W,4,0,Toulouse,640,725,88.3,11832,3527,270,294,91.8,286,302,94.7,78,111,70.3,2,1.7,11,60,21,5,59
2019-08-30,20:45,Ligue 1,Matchweek 4,Fri,Away,W,2,0,Metz,647,722,89.6,11766,3769,293,317,92.4,278,291,95.5,70,94,74.5,1,0.7,8,40,8,3,54
2019-09-14,17:30,Ligue 1,Matchweek 5,Sat,Home,W,1,0,Strasbourg,590,678,87.0,10312,3201,275,301,91.4,247,282,87.6,59,82,72.0,1,0.7,10,47,14,3,50
2019-09-18,21:00,Champions Lg,Group stage,Wed,Home,W,3,0,es Real Madrid,573,650,88.2,9880,2892,287,306,93.8,217,238,91.2,53,79,67.1,3,1.4,9,43,15,1,46
2019-09-22,21:00,Ligue 1,Matchweek 6,Sun,Away,W,1,0,Lyon,661,728,90.8,12035,3655,303,322,94.1,257,276,93.1,88,106,83.0,1,1.8,17,53,17,3,66
2019-09-25,21:00,Ligue 1,Matchweek 7,Wed,Home,L,0,2,Reims,715,801,89.3,13116,3549,306,335,91.3,313,335,93.4,83,105,79.0,0,0.3,6,66,17,5,58
2019-09-28,17:30,Ligue 1,Matchweek 8,Sat,Away,W,1,0,Bordeaux,622,722,86.1,11389,3649,265,304,87.2,275,296,92.9,70,103,68.0,1,2.4,16,54,22,3,68
2019-10-01,22:00 (21:00),Champions Lg,Group stage,Tue,Away,W,1,0,tr Galatasaray,430,544,79.0,7940,2643,201,219,91.8,153,180,85.0,66,119,55.5,1,2.2,10,29,7,0,34
2019-10-05,17:30,Ligue 1,Matchweek 9,Sat,Home,W,4,0,Angers,849,916,92.7,13723,4272,482,504,95.6,284,303,93.7,71,89,79.8,4,2.4,11,80,15,2,65
2019-10-18,20:45,Ligue 1,Matchweek 10,Fri,Away,W,4,1,Nice,525,598,87.8,10472,3211,203,216,94.0,241,269,89.6,78,99,78.8,3,2.7,16,36,12,2,40
2019-10-22,21:00,Champions Lg,Group stage,Tue,Away,W,5,0,be Club Brugge,469,561,83.6,8250,3016,233,247,94.3,174,204,85.3,50,86,58.1,4,2.8,10,24,7,0,32
2019-10-27,21:00,Ligue 1,Matchweek 11,Sun,Home,W,4,0,Marseille,615,679,90.6,10981,3247,307,326,94.2,216,228,94.7,83,103,80.6,3,2.7,10,38,11,1,49
2019-11-01,20:45,Ligue 1,Matchweek 12,Fri,Away,L,1,2,Dijon,579,650,89.1,10931,3943,244,262,93.1,242,264,91.7,82,106,77.4,1,2.2,16,46,16,8,58
2019-11-06,21:00,Champions Lg,Group stage,Wed,Home,W,1,0,be Club Brugge,652,737,88.5,11503,3732,326,348,93.7,249,271,91.9,70,102,68.6,0,0.4,5,39,8,1,45
2019-11-09,17:30,Ligue 1,Matchweek 13,Sat,Away,W,2,1,Brest,558,640,87.2,9846,3311,254,278,91.4,245,272,90.1,51,77,66.2,1,0.9,12,50,15,1,56
2019-11-22,20:45,Ligue 1,Matchweek 14,Fri,Home,W,2,0,Lille,630,714,88.2,12140,3330,261,274,95.3,272,298,91.3,91,120,75.8,2,2.3,9,28,14,2,43
2019-11-26,21:00,Champions Lg,Group stage,Tue,Away,D,2,2,es Real Madrid,536,627,85.5,8519,2677,291,316,92.1,197,216,91.2,40,76,52.6,0,0.8,9,25,7,2,30
2019-12-04,21:05,Ligue 1,Matchweek 16,Wed,Home,W,2,0,Nantes,650,738,88.1,11294,3412,323,347,93.1,234,261,89.7,78,102,76.5,1,1.8,7,41,8,2,51
2019-12-07,17:30,Ligue 1,Matchweek 17,Sat,Away,W,3,1,Montpellier,443,515,86.0,8244,2709,197,211,93.4,181,203,89.2,57,78,73.1,2,0.8,7,34,7,0,42
2019-12-11,21:00,Champions Lg,Group stage,Wed,Home,W,5,0,tr Galatasaray,588,672,87.5,10145,2984,288,317,90.9,230,252,91.3,59,83,71.1,4,3.2,13,45,15,2,41
2019-12-15,21:00,Ligue 1,Matchweek 18,Sun,Away,W,4,0,Saint-Étienne,610,696,87.6,11791,3600,276,304,90.8,213,240,88.8,107,125,85.6,2,1.7,11,48,18,2,64
2019-12-18,21:05,Coupe de la Ligue,Round of 16,Wed,Away,W,4,1,Le Mans,,,,,,,,,,,,,,,4,,,,,,
2019-12-21,20:45,Ligue 1,Matchweek 19,Sat,Home,W,4,1,Amiens,660,727,90.8,11955,3531,282,306,92.2,291,314,92.7,74,85,87.1,4,3.1,17,40,19,1,61
2020-01-05,20:55,Coupe de France,Round of 64,Sun,Away,W,6,0,Linas-Montl.,,,,,,,,,,,,,,,4,,,,,,
2020-01-08,21:05,Coupe de la Ligue,Quarter-finals,Wed,Home,W,6,1,Saint-Étienne,,,,,,,,,,,,,,,5,,,,,,
2020-01-12,21:00,Ligue 1,Matchweek 20,Sun,Home,D,3,3,Monaco,586,671,87.3,10255,3259,282,304,92.8,237,257,92.2,59,80,73.8,1,1.6,11,61,18,3,49
2020-01-15,21:00,Ligue 1,Matchweek 15,Wed,Away,W,4,1,Monaco,541,615,88.0,9677,3071,241,263,91.6,215,238,90.3,70,86,81.4,3,2.1,13,42,10,0,45
2020-01-19,20:55,Coupe de France,Round of 32,Sun,Away,W,1,0,Lorient,,,,,,,,,,,,,,,1,,,,,,
2020-01-22,21:00,Coupe de la Ligue,Semi-finals,Wed,Away,W,3,0,Reims,,,,,,,,,,,,,,,1,,,,,,
2020-01-26,21:00,Ligue 1,Matchweek 21,Sun,Away,W,2,0,Lille,482,568,84.9,8554,2768,216,234,92.3,188,210,89.5,60,97,61.9,1,1.3,10,23,11,1,42
2020-01-29,18:30,Coupe de France,Round of 16,Wed,Away,W,2,0,Pau FC,,,,,,,,,,,,,,,1,,,,,,
2020-02-01,17:30,Ligue 1,Matchweek 22,Sat,Home,W,5,0,Montpellier,560,634,88.3,9167,2885,283,308,91.9,214,233,91.8,43,62,69.4,2,2.1,12,49,18,0,55
