Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2019-08-11,14:00 (15:00),Premier League,Matchweek 1,Sun,Away,W,1,0,Newcastle Utd,560,655,85.5,10122,3396,252,274,92.0,234,263,89.0,65,98,66.3,1,1.0,7,38,11,1,31
2019-08-17,12:30 (13:30),Premier League,Matchweek 2,Sat,Home,W,2,1,Burnley,475,562,84.5,8833,2631,203,226,89.8,201,223,90.1,62,91,68.1,2,0.8,14,22,12,3,28
2019-08-24,17:30 (18:30),Premier League,Matchweek 3,Sat,Away,L,1,3,Liverpool,451,531,84.9,8286,2624,199,215,92.6,198,219,90.4,49,84,58.3,0,0.4,5,23,4,0,16
2019-09-01,16:30 (17:30),Premier League,Matchweek 4,Sun,Home,D,2,2,Tottenham,405,498,81.3,7707,2691,173,191,90.6,169,198,85.4,58,93,62.4,2,1.5,17,44,15,6,55
2019-09-15,16:30 (17:30),Premier League,Matchweek 5,Sun,Away,D,2,2,Watford,420,492,85.4,7776,2296,184,200,92.0,171,189,90.5,58,85,68.2,2,0.9,6,30,6,1,25
2019-09-19,18:55,Europa Lg,Group stage,Thu,Away,W,3,0,de Eint Frankfurt,261,363,71.9,5364,2391,106,134,79.1,110,133,82.7,41,84,48.8,3,2.1,14,24,14,4,38
2019-09-22,16:30 (17:30),Premier League,Matchweek 6,Sun,Home,W,3,2,Aston Villa,421,508,82.9,8051,2690,185,207,89.4,173,197,87.8,58,88,65.9,0,0.9,15,47,12,2,53
2019-09-24,19:45 (20:45),EFL Cup,Third round,Tue,Home,W,5,0,Nott'ham Forest,,,,,,,,,,,,,,,5,,,,,,
2019-09-30,20:00 (21:00),Premier League,Matchweek 7,Mon,Away,D,1,1,Manchester Utd,298,397,75.1,6232,2171,131,151,86.8,103,122,84.4,59,107,55.1,1,1.4,7,19,5,1,18
2019-10-03,20:00 (21:00),Europa Lg,Group stage,Thu,Home,W,4,0,be Standard Liège,585,659,88.8,10851,3016,265,283,93.6,239,260,91.9,72,99,72.7,3,3.5,20,46,16,6,44
2019-10-06,14:00 (15:00),Premier League,Matchweek 8,Sun,Home,W,1,0,Bournemouth,365,482,75.7,7264,2147,141,160,88.1,158,177,89.3,59,117,50.4,1,0.8,10,27,14,0,42
2019-10-21,20:00 (21:00),Premier League,Matchweek 9,Mon,Away,L,0,1,Sheffield Utd,562,665,84.5,11485,3202,205,227,90.3,266,298,89.3,86,123,69.9,0,0.8,7,42,14,3,52
2019-10-24,20:00 (21:00),Europa Lg,Group stage,Thu,Home,W,3,2,pt Vitória,475,549,86.5,9620,2962,176,197,89.3,213,232,91.8,79,107,73.8,1,1.8,12,30,12,4,52
2019-10-27,16:30 (17:30),Premier League,Matchweek 10,Sun,Home,D,2,2,Crystal Palace,367,450,81.6,7225,2320,140,159,88.1,165,181,91.2,55,94,58.5,1,0.9,11,28,6,2,35
2019-10-30,19:30 (20:30),EFL Cup,Fourth round,Wed,Away,L,5 (4),5 (5),Liverpool,,,,,,,,,,,,,,,3,,,,,,
2019-11-02,15:00 (16:00),Premier League,Matchweek 11,Sat,Home,D,1,1,Wolves,485,581,83.5,8245,2723,241,255,94.5,188,220,85.5,48,84,57.1,1,0.8,7,32,9,3,36
2019-11-06,15:50 (16:50),Europa Lg,Group stage,Wed,Away,D,1,1,pt Vitória,553,649,85.2,10545,3113,208,234,88.9,272,303,89.8,68,89,76.4,1,0.4,5,31,1,1,38
2019-11-09,17:30 (18:30),Premier League,Matchweek 12,Sat,Away,L,0,2,Leicester City,411,499,82.4,8113,2495,152,169,89.9,197,219,90.0,59,96,61.5,0,0.5,6,32,10,2,32
2019-11-23,15:00 (16:00),Premier League,Matchweek 13,Sat,Home,D,2,2,Southampton,429,527,81.4,8550,2714,153,175,87.4,198,225,88.0,70,99,70.7,0,0.8,8,34,10,4,39
2019-11-28,20:00 (21:00),Europa Lg,Group stage,Thu,Home,L,1,2,de Eint Frankfurt,405,498,81.3,8206,3024,149,178,83.7,162,179,90.5,78,110,70.9,1,1.6,10,31,7,1,33
2019-12-01,14:00 (15:00),Premier League,Matchweek 14,Sun,Away,D,2,2,Norwich City,489,597,81.9,10183,3182,176,200,88.0,223,257,86.8,87,120,72.5,0,0.5,8,44,10,1,43
