Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
2018-02-09,20:45,Serie A,Matchweek 24,Fri,Away,W,2,0,Fiorentina,303,409,74.1,6678,2343,91,112,81.3,144,178,80.9,64,102,62.7,1,0.4,3,20,3,1,23
2018-02-13,20:45,Champions Lg,Round of 16,Tue,Home,D,2,2,eng Tottenham,,,,,,,,,,,,,,,1,,,,,,
2018-02-18,12:30,Serie A,Matchweek 25,Sun,Away,W,1,0,Torino,435,518,84.0,8940,2278,137,155,88.4,219,246,89.0,72,102,70.6,1,1.2,4,19,5,2,26
2018-02-28,17:30,Coppa Italia,Semi-finals,Wed,Home,W,1,0,Atalanta,,,,,,,,,,,,,,,0,,,,,,
2018-03-03,18:00,Serie A,Matchweek 27,Sat,Away,W,1,0,Lazio,527,621,84.9,9676,2658,239,268,89.2,224,254,88.2,60,89,67.4,1,0.4,5,25,5,0,33
2018-03-07,19:45 (20:45),Champions Lg,Round of 16,Wed,Away,W,2,1,eng Tottenham,,,,,,,,,,,,,,,2,,,,,,
2018-03-11,15:00,Serie A,Matchweek 28,Sun,Home,W,2,0,Udinese,590,672,87.8,12541,3268,190,219,86.8,289,320,90.3,109,127,85.8,1,1.0,7,26,10,0,42
2018-03-14,18:00,Serie A,Matchweek 26,Wed,Home,W,2,0,Atalanta,455,522,87.2,9196,3112,175,192,91.1,195,212,92.0,79,104,76.0,2,1.6,14,26,7,4,30
2018-03-17,20:45,Serie A,Matchweek 29,Sat,Away,D,0,0,SPAL,571,661,86.4,11203,2779,212,242,87.6,262,288,91.0,87,117,74.4,0,0.9,10,40,9,3,42
2018-03-31,20:45,Serie A,Matchweek 30,Sat,Home,W,3,1,Milan,482,575,83.8,9311,2478,184,211,87.2,244,269,90.7,54,85,63.5,3,0.4,7,29,4,0,35
2018-04-03,20:45,Champions Lg,Quarter-finals,Tue,Home,L,0,3,es Real Madrid,,,,,,,,,,,,,,,0,,,,,,
2018-04-07,15:00,Serie A,Matchweek 31,Sat,Away,W,4,2,Benevento,525,592,88.7,10566,2674,206,220,93.6,223,242,92.1,88,116,75.9,2,0.7,9,39,10,6,29
2018-04-11,20:45,Champions Lg,Quarter-finals,Wed,Away,W,3,1,es Real Madrid,,,,,,,,,,,,,,,2,,,,,,
2018-04-15,18:00,Serie A,Matchweek 32,Sun,Home,W,3,0,Sampdoria,506,590,85.8,10682,2802,195,218,89.4,210,232,90.5,93,125,74.4,3,1.6,10,24,8,5,23
2018-04-18,20:45,Serie A,Matchweek 33,Wed,Away,D,1,1,Crotone,686,796,86.2,13800,3226,239,275,86.9,331,362,91.4,110,148,74.3,1,0.9,12,48,9,2,42
2018-04-22,20:45,Serie A,Matchweek 34,Sun,Home,L,0,1,Napoli,380,476,79.8,8403,2308,109,124,87.9,191,223,85.7,73,118,61.9,0,0.2,3,17,5,0,21
2018-04-28,20:45,Serie A,Matchweek 35,Sat,Away,W,3,2,Inter,480,566,84.8,10569,2951,157,176,89.2,224,252,88.9,97,129,75.2,2,1.2,10,45,13,3,45
2018-05-05,20:45,Serie A,Matchweek 36,Sat,Home,W,3,1,Bologna,660,733,90.0,13951,3235,230,248,92.7,312,335,93.1,115,138,83.3,2,1.5,12,50,10,6,36
2018-05-09,21:00,Coppa Italia,Final,Wed,Neutral,W,4,0,Milan,,,,,,,,,,,,,,,2,,,,,,
2018-05-13,20:45,Serie A,Matchweek 37,Sun,Away,D,0,0,Roma,525,596,88.1,10628,2724,192,204,94.1,258,279,92.5,73,104,70.2,0,0.2,6,26,3,0,27
2018-05-19,15:00,Serie A,Matchweek 38,Sat,Home,W,2,1,Hellas Verona,569,643,88.5,10766,3317,248,265,93.6,238,260,91.5,76,107,71.0,0,0.7,16,40,11,1,52
2018-05-06,16:30 (17:30),Premier League,Matchweek 37,Sun,Home,W,5,0,Burnley,595,677,87.9,10393,3119,267,286,93.4,257,281,91.5,53,80,66.3,5,1.3,13,48,11,2,47
2018-05-09,19:45 (20:45),Premier League,Matchweek 31,Wed,Away,L,1,3,Leicester City,390,493,79.1,7515,2554,172,201,85.6,160,186,86.0,54,87,62.1,0,1.1,9,28,10,1,30
2018-05-13,15:00 (16:00),Premier League,Matchweek 38,Sun,Away,W,1,0,Huddersfield,413,520,79.4,8067,3099,136,171,79.5,229,264,86.7,47,73,64.4,1,1.3,5,28,7,0,33
