Saison,Joueur,Equipe,Prix
2018/2019,Alisson,AS Roma,Ä62.50m
2018/2019,Naby Keita,RB Leipzig,Ä60.00m
2018/2019,Fabinho,Monaco,Ä45.00m
2018/2019,Xherdan Shaqiri,Stoke City,Ä14.70m
2018/2019,Taiwo Awoniyi,KAA Gent,End of loan
2018/2019,Ben Woodburn,Sheff Utd,End of loan
2018/2019,Connor Randall,Rochdale,End of loan
2018/2019,√Åd√°m Bogd√°n,Hibernian FC,End of loan
2018/2019,Harry Wilson,Derby,End of loan
2018/2019,Ryan Kent,Rangers,End of loan
2018/2019,Nathaniel Clyne,Bournemouth,End of loan
2018/2019,Ovie Ejaria,Reading,End of loan
2018/2019,Harry Wilson,Liverpool U23,-
2018/2019,Ryan Kent,Liverpool U23,-
2018/2019,Rhian Brewster,Liverpool U23,-
2018/2019,Ovie Ejaria,Rangers,End of loan
