Date,Comp,Venue,Result,GF,GA,Opponent,SCA,GCA
2018-08-12,Premier League,Home,W,4,0,West Ham,24,6
2018-08-20,Premier League,Away,W,2,0,Crystal Palace,29,4
2018-08-25,Premier League,Home,W,1,0,Brighton,39,2
2018-09-01,Premier League,Away,W,2,1,Leicester City,17,3
2018-09-15,Premier League,Away,W,2,1,Tottenham,28,0
2018-09-18,Champions Lg,Home,W,3,2,fr Paris S-G,30,6
2018-09-22,Premier League,Home,W,3,0,Southampton,19,5
2018-09-26,EFL Cup,Home,L,1,2,Chelsea,,
2018-09-29,Premier League,Away,D,1,1,Chelsea,22,2
2018-10-03,Champions Lg,Away,L,0,1,it Napoli,3,0
2018-10-07,Premier League,Home,D,0,0,Manchester City,11,0
2018-10-20,Premier League,Away,W,1,0,Huddersfield,18,2
2018-10-24,Champions Lg,Home,W,4,0,rs Red Star,34,8
2018-10-27,Premier League,Home,W,4,1,Cardiff City,28,5
2018-11-03,Premier League,Away,D,1,1,Arsenal,25,2
2018-11-06,Champions Lg,Away,L,0,2,rs Red Star,34,0
2018-11-11,Premier League,Home,W,2,0,Fulham,31,4
2018-11-24,Premier League,Away,W,3,0,Watford,15,5
2018-11-28,Champions Lg,Away,L,1,2,fr Paris S-G,11,2
2018-12-02,Premier League,Home,W,1,0,Everton,23,1
2018-12-05,Premier League,Away,W,3,1,Burnley,31,6
2018-12-08,Premier League,Away,W,4,0,Bournemouth,19,7
2018-12-11,Champions Lg,Home,W,1,0,it Napoli,44,2
2018-12-16,Premier League,Home,W,3,1,Manchester Utd,45,6
2018-12-21,Premier League,Away,W,2,0,Wolves,23,3
2018-12-26,Premier League,Home,W,4,0,Newcastle Utd,20,5
2018-12-29,Premier League,Home,W,5,1,Arsenal,25,8
2019-01-03,Premier League,Away,L,1,2,Manchester City,10,2
2019-01-07,FA Cup,Away,L,1,2,Wolves,,
