date_match,contests,home_team,home_score,away_score,away_team,liverpool_score,at_anfield,season,rest_days
2018-09-18,UEFA Champions League,Liverpool - England ,3,2,Paris,V,True,2018 - 2019,3
2018-10-03,UEFA Champions League,SSC Napoli - Italy ,1,0,Liverpool,D,False,2018 - 2019,4
2018-10-24,UEFA Champions League,Liverpool - England ,4,0,Crvena,V,True,2018 - 2019,4
2018-11-06,UEFA Champions League,Crvena Zvezda - Serbia ,2,0,Liverpool,D,False,2018 - 2019,3
2018-11-28,UEFA Champions League,Paris Saint-Germain - France ,2,1,Liverpool,D,False,2018 - 2019,4
2018-12-11,UEFA Champions League,Liverpool - England ,1,0,SSC,V,True,2018 - 2019,3
2019-02-19,UEFA Champions League,Liverpool - England ,0,0,FC,N,True,2018 - 2019,10
2019-03-13,UEFA Champions League,FC Bayern Munich - Germany ,1,3,Liverpool,V,False,2018 - 2019,3
2019-04-09,UEFA Champions League,Liverpool - England ,2,0,FC,V,True,2018 - 2019,4
2019-04-17,UEFA Champions League,FC Porto - Portugal ,1,4,Liverpool,V,False,2018 - 2019,3
2019-05-01,UEFA Champions League,FC Barcelona - Spain ,3,0,Liverpool,D,False,2018 - 2019,5
2019-05-07,UEFA Champions League,Liverpool - England ,4,0,FC,V,True,2018 - 2019,3
2019-06-01,UEFA Champions League,Tottenham Hotspur - England ,0,2,Liverpool,V,False,2018 - 2019,20
