season,contests,date_match,home_team,away_team,at_anfield,Goals,Assists,Formation,Shots,Shots On Target,Saves,Penalties won,Penalties scored,Crosses,Fouls,Offsides,Corners,Yellow Card,Red Cards,Balls touched,Passes,liverpool_score,Interceptions,Blocks,Catches,Tackles,Possession,Elo_Liverpool,Elo_Opponent,Elo_Diff,Rest_Days,liverpool_score_ft,liverpool_score_ht,opponent_score_ft,opponent_score_ht,liverpool_result_ft,liverpool_result_ht
2017 - 2018,English Premier League,2018-02-04,Liverpool,Tottenham Hotspur,True,2,0,4-3-3,9,3,4,0,0,18,15,2,3,3,0,948,210,N,3,27,7,8,40%,1887.24829102,1919,-31.751708980000103,5,2,1,2,0,N,V
2017 - 2018,English Premier League,2018-02-11,FC Southampton,Liverpool,False,2,2,4-3-3,16,4,4,0,0,10,8,0,1,2,0,1348,411,V,3,14,4,10,48%,1886.68078613,1666,220.6807861299999,7,2,2,0,0,V,V
2017 - 2018,English Premier League,2018-02-24,Liverpool,West Ham United,True,4,4,4-3-3,21,12,3,0,0,35,7,1,8,0,0,1834,641,V,3,10,8,26,61%,1912.05175781,1670,242.05175781000003,10,4,1,1,0,V,V
2017 - 2018,English Premier League,2018-03-03,Liverpool,Newcastle United FC,True,2,2,4-3-3,14,3,2,0,0,20,7,4,8,0,0,1893,685,V,3,16,5,8,66%,1915.40930176,1644,271.40930176000006,7,2,1,0,0,V,V
2017 - 2018,English Premier League,2018-03-10,Manchester United,Liverpool,False,1,0,4-3-3,14,2,0,0,0,37,16,0,13,1,0,1776,513,D,3,9,3,19,62%,1914.3260498,1904,10.326049799999964,4,1,0,2,2,D,D
2017 - 2018,English Premier League,2018-03-17,Liverpool,Watford,True,5,4,4-3-3,13,10,1,0,0,26,5,6,6,1,0,1537,507,V,6,21,4,19,56%,1900.92272949,1639,261.92272948999994,7,5,2,0,0,V,V
2017 - 2018,English Premier League,2018-03-31,Crystal Palace FC,Liverpool,False,2,2,4-3-3,16,6,2,0,0,39,8,1,6,2,0,1729,587,V,3,12,5,14,63%,1904.96777344,1649,255.96777343999997,14,2,0,1,1,V,D
2017 - 2018,English Premier League,2018-04-07,Everton FC,Liverpool,False,0,0,4-3-3,10,3,1,0,0,18,7,1,2,0,0,1529,486,N,3,20,2,10,61%,1929.28918457,1693,236.2891845700001,3,0,0,0,0,N,N
2017 - 2018,English Premier League,2018-04-14,Liverpool,AFC Bournemouth,True,3,2,4-3-3,20,7,1,0,0,30,9,4,7,1,0,1710,551,V,3,13,7,17,61%,1934.20568848,1671,263.20568847999994,4,3,1,0,0,V,V
2017 - 2018,English Premier League,2018-04-21,West Bromwich Albion FC,Liverpool,False,2,2,4-3-3,9,3,4,0,0,19,5,2,4,1,0,1646,498,N,0,33,5,7,60%,1937.2442627,1595,342.24426270000004,7,2,1,2,0,N,V
2017 - 2018,English Premier League,2018-04-28,Liverpool,Stoke City FC,True,0,0,4-3-3,20,2,1,0,0,38,7,2,9,1,0,1753,542,N,4,18,6,6,70%,1942.36901855,1620,322.36901854999996,4,0,0,0,0,N,N
2017 - 2018,English Premier League,2018-05-06,Chelsea,Liverpool,False,0,0,4-3-3,10,5,3,0,0,30,9,0,1,3,0,1986,711,D,7,12,6,13,63%,1929.0949707,1856,73.09497069999998,4,0,0,1,1,D,D
2017 - 2018,English Premier League,2018-05-13,Liverpool,Brighton & Hove Albion,True,4,2,4-3-3,22,11,1,0,0,27,3,1,7,0,0,2025,676,V,4,11,3,6,66%,1920.7590332,1635,285.7590332,7,4,2,0,0,V,V
