date_match,contests,home_team,home_score,away_score,away_team,liverpool_score,at_anfield,season,rest_days
2017-08-05,Liverpool Pre-Season,Liverpool - England ,3,1,Athletic,V,True,2017 - 2018,4
2018-07-07,Liverpool Pre-Season,Chester City fc - England ,0,7,Liverpool,V,False,2017 - 2018,42
2018-07-10,Liverpool Pre-Season,Tranmere Rovers FC - England ,2,3,Liverpool,V,False,2017 - 2018,3
2018-07-14,Liverpool Pre-Season,Bury F.C - England ,0,0,Liverpool,N,False,2017 - 2018,4
2018-07-19,Liverpool Pre-Season,Blackburn Rovers FC - England ,0,2,Liverpool,V,False,2017 - 2018,5
