Saison,Joueur,Equipe,Prix
2020/2021,Diogo Jota,Wolves,€44.70m
2020/2021,Thiago,Bayern Munich,€22.00m
2020/2021,Konstantinos Tsimikas,Olympiacos,€13.00m
2020/2021,Ben Woodburn,Blackpool,End of loan
2020/2021,Sheyi Ojo,Cardiff,End of loan
2020/2021,Harry Wilson,Cardiff,End of loan
2020/2021,Curtis Jones,Liverpool U23,-
