date_match,contests,home_team,home_score,away_score,away_team,liverpool_score,at_anfield,season,rest_days
2013-08-03,Liverpool Pre-Season,Liverpool - England ,2,0,Olympiacos,V,True,2013 - 2014,6
2013-08-07,Liverpool Pre-Season,Valerenga IF - Norway ,1,4,Liverpool,V,False,2013 - 2014,4
2013-08-10,Liverpool Pre-Season,Liverpool - England ,0,1,Celtic,D,True,2013 - 2014,3
2014-07-16,Liverpool Pre-Season,Brondby IF - Denmark ,2,1,Liverpool,D,False,2013 - 2014,63
2014-07-19,Liverpool Pre-Season,Preston North End - England ,1,2,Liverpool,V,False,2013 - 2014,3
2014-07-24,Liverpool Pre-Season,Liverpool - England ,0,1,AS,D,True,2013 - 2014,5
