Elo_opponent_Europe
1351
1349
1535
1669
1717
1700
1536
1641
1772
1796
1531
1677
2051
2071
1531
1713
1677
1663
1489
1590
1599
1613
1487
1659
1672
1788
1772
1897
1884
1848
1868
1807
1763
1757
1830
1567
1448
1447
1787
1701
1778
1775
1993
1968
1845
1835
2011
1899
1850
1507
1505
1895
1869
1936
1951
1824
1824
2042
2035
1897
1804
1800
1619
1593
1785
1787
1840
1841
