season,contests,date_match,home_team,away_team,at_anfield,Goals,Assists,Formation,Shots,Shots On Target,Saves,Penalties won,Penalties scored,Crosses,Fouls,Offsides,Corners,Yellow Card,Red Cards,Balls touched,Passes,liverpool_score,Interceptions,Blocks,Catches,Tackles,Possession,Elo_Liverpool,Elo_Opponent,Elo_Diff,Rest_Days,liverpool_score_ft,liverpool_score_ht,opponent_score_ft,opponent_score_ht,liverpool_result_ft,liverpool_result_ht
2016 - 2017,English Premier League,2016-08-14,Arsenal FC,Liverpool,False,4,3,4-3-3,16,7,2,0,0,14,17,3,4,3,0,1414,354,V,0,27,0,26,50%,1801.18237305,1841,-39.817626949999976,7,4,1,3,1,V,N
2016 - 2017,English Premier League,2016-08-20,Burnley FC,Liverpool,False,0,0,4-3-3,26,5,0,0,0,38,5,0,12,1,0,2486,734,D,0,13,0,16,74%,1813.15234375,1631,182.15234375,6,0,0,2,2,D,D
2016 - 2017,English Premier League,2016-08-27,Tottenham Hotspur,Liverpool,False,1,0,4-3-3,13,3,3,1,1,15,17,6,5,5,0,1268,314,N,10,30,0,16,48%,1790.23718262,1801,-10.762817379999888,4,1,1,1,0,N,V
2016 - 2017,English Premier League,2016-09-10,Liverpool,Leicester City,True,4,4,4-3-3,17,11,2,0,0,12,4,3,1,1,0,1627,473,V,0,24,0,13,60%,1792.14282227,1798,-5.857177730000103,14,4,2,1,1,V,V
2016 - 2017,English Premier League,2016-09-16,Chelsea,Liverpool,False,2,1,4-2-3-1,13,5,3,0,0,16,13,2,4,1,0,1391,407,V,0,20,0,17,45%,1805.07214355,1804,1.0721435499999643,6,2,2,1,0,V,V
2016 - 2017,English Premier League,2016-09-24,Liverpool,Hull City,True,5,3,4-3-3,32,12,0,2,2,28,8,0,13,1,0,2112,680,V,6,7,0,18,68%,1814.18359375,1606,208.18359375,4,5,3,1,0,V,V
2016 - 2017,English Premier League,2016-10-01,Swansea City,Liverpool,False,2,1,4-3-3,18,6,2,1,1,45,9,2,10,2,0,1707,465,V,6,22,0,18,58%,1822.40649414,1667,155.40649413999995,7,2,0,1,1,V,D
2016 - 2017,English Premier League,2016-10-17,Liverpool,Manchester United,True,0,0,4-3-3,9,3,1,0,0,13,14,2,3,0,0,1772,468,N,8,19,0,22,62%,1827.85656738,1784,43.85656737999989,16,0,0,0,0,N,N
2016 - 2017,English Premier League,2016-10-22,Liverpool,West Bromwich Albion FC,True,2,2,4-3-3,21,7,0,0,0,24,9,3,3,1,0,1863,547,V,3,19,0,13,62%,1824.21472168,1652,172.2147216799999,5,2,2,1,0,V,V
2016 - 2017,English Premier League,2016-10-29,Crystal Palace FC,Liverpool,False,4,4,4-3-3,17,10,4,0,0,21,5,1,3,2,0,1482,397,V,1,11,0,24,54%,1827.21130371,1639,188.21130371000004,4,4,3,2,2,V,V
2016 - 2017,English Premier League,2016-11-06,Liverpool,Watford,True,6,5,4-3-3,28,17,7,0,0,27,14,1,6,1,0,1469,408,V,7,13,0,20,55%,1833.10266113,1651,182.1026611299999,8,6,3,1,0,V,V
2016 - 2017,English Premier League,2016-11-19,FC Southampton,Liverpool,False,0,0,4-3-3,15,3,0,0,0,29,11,2,8,1,0,1824,529,N,6,27,0,14,61%,1839.4621582,1755,84.46215819999998,13,0,0,0,0,N,N
2016 - 2017,English Premier League,2016-11-26,Liverpool,AFC Sunderland,True,2,1,4-3-3,27,7,1,1,1,48,4,0,9,1,0,2050,590,V,2,23,0,17,68%,1835.03967285,1616,219.03967285,7,2,0,0,0,V,N
2016 - 2017,English Premier League,2016-12-04,AFC Bournemouth,Liverpool,False,3,3,4-3-3,10,3,4,0,0,33,17,1,9,2,0,1521,460,D,5,19,0,15,57%,1838.36340332,1623,215.3634033200001,5,3,2,4,0,D,V
2016 - 2017,English Premier League,2016-12-11,Liverpool,West Ham United,True,2,1,4-3-3,18,3,1,0,0,50,7,5,11,2,0,1711,500,N,0,18,0,5,63%,1824.71105957,1646,178.7110595700001,7,2,1,2,2,N,D
2016 - 2017,English Premier League,2016-12-14,Middlesbrough,Liverpool,False,3,3,4-3-3,15,4,3,0,0,17,14,4,2,0,0,1833,596,V,7,16,0,19,59%,1818.63537598,1608,210.63537597999994,3,3,1,0,0,V,V
2016 - 2017,English Premier League,2016-12-19,Everton FC,Liverpool,False,1,0,4-3-3,11,4,1,0,0,27,9,1,6,1,0,1683,479,V,9,21,0,17,65%,1826.68908691,1699,127.68908691000001,5,1,0,0,0,V,N
2016 - 2017,English Premier League,2016-12-27,Liverpool,Stoke City FC,True,4,2,4-3-3,20,6,1,0,0,21,9,0,8,0,0,1765,504,V,7,15,0,22,60%,1832.94970703,1670,162.9497070299999,8,4,2,1,1,V,V
2016 - 2017,English Premier League,2016-12-31,Liverpool,Manchester City,True,1,1,4-3-3,5,1,2,0,0,10,12,2,4,2,0,1198,285,V,13,26,0,13,46%,1838.20996094,1854,-15.790039060000026,4,1,1,0,0,V,V
2016 - 2017,English Premier League,2017-01-02,AFC Sunderland,Liverpool,False,2,1,4-3-3,21,15,3,0,0,28,10,3,5,3,0,2008,600,N,3,16,0,10,64%,1844.82714844,1599,245.82714843999997,2,2,1,2,1,N,N
2016 - 2017,English Premier League,2017-01-15,Manchester United,Liverpool,False,1,0,4-3-3,13,4,2,1,1,19,13,2,7,3,0,1174,269,N,0,26,0,25,46%,1839.94555664,1814,25.94555663999995,4,1,1,1,0,N,V
2016 - 2017,English Premier League,2017-01-21,Liverpool,Swansea City,True,2,2,4-3-3,16,5,0,0,0,47,7,2,6,1,0,1997,652,D,4,15,0,19,68%,1841.03796387,1597,244.0379638700001,3,2,0,3,0,D,N
2016 - 2017,English Premier League,2017-01-31,Liverpool,Chelsea,True,1,0,4-3-3,7,3,1,0,0,30,13,5,3,2,0,1630,487,N,10,20,0,14,59%,1826.1986084,1876,-49.80139159999999,3,1,0,1,1,N,D
2016 - 2017,English Premier League,2017-02-04,Hull City,Liverpool,False,0,0,4-3-3,22,5,2,0,0,49,12,1,15,1,0,1738,501,D,2,15,0,10,66%,1825.65844727,1561,264.6584472699999,4,0,0,2,1,D,D
2016 - 2017,English Premier League,2017-02-11,Liverpool,Tottenham Hotspur,True,2,1,4-3-3,18,9,2,0,0,25,14,2,10,3,0,1181,268,V,12,24,0,11,49%,1807.45654297,1847,-39.5434570299999,7,2,2,0,0,V,V
2016 - 2017,English Premier League,2017-02-27,Leicester City,Liverpool,False,1,1,4-3-3,17,7,4,0,0,38,5,2,12,0,0,1767,503,D,8,21,0,19,65%,1813.77148438,1669,144.77148437999995,16,1,0,3,2,D,D
2016 - 2017,English Premier League,2017-03-04,Liverpool,Arsenal FC,True,3,3,4-3-3,18,7,2,0,0,24,8,5,9,1,0,1259,317,V,6,18,0,15,52%,1799.58642578,1842,-42.4135742200001,5,3,2,1,0,V,V
2016 - 2017,English Premier League,2017-03-12,Liverpool,Burnley FC,True,2,1,4-3-3,10,3,0,0,0,29,12,3,11,2,0,1447,386,V,8,13,0,4,63%,1809.16699219,1633,176.16699218999997,8,2,1,1,1,V,N
2016 - 2017,English Premier League,2017-03-19,Manchester City,Liverpool,False,1,0,4-3-3,13,4,2,1,1,21,7,2,8,3,0,1176,286,N,7,20,0,16,42%,1814.47534179999,1837,-22.52465820000998,7,1,0,1,0,N,N
2016 - 2017,English Premier League,2017-04-01,Liverpool,Everton FC,True,3,3,4-3-3,10,6,3,0,0,9,17,1,2,1,0,1392,330,V,8,23,3,16,54%,1817.08398438,1759,58.08398437999995,13,3,2,1,1,V,V
2016 - 2017,English Premier League,2017-04-05,Liverpool,AFC Bournemouth,True,2,2,4-3-3,20,8,0,0,0,33,11,2,7,1,0,1666,465,N,3,18,3,13,61%,1823.95202637,1622,201.9520263700001,4,2,1,2,1,N,N
2016 - 2017,English Premier League,2017-04-08,Stoke City FC,Liverpool,False,2,1,3-5-1-1,14,4,3,0,0,22,11,2,8,2,0,1484,371,V,7,19,3,19,56%,1817.31542969,1664,153.31542968999997,3,2,0,1,1,V,D
2016 - 2017,English Premier League,2017-04-16,West Bromwich Albion FC,Liverpool,False,1,1,4-3-3,15,2,2,0,0,18,9,2,4,1,0,1654,446,V,8,21,3,14,62%,1823.36437988,1664,159.3643798799999,8,1,1,0,0,V,V
2016 - 2017,English Premier League,2017-04-23,Liverpool,Crystal Palace FC,True,1,0,4-3-3,14,1,1,0,0,29,8,0,4,1,0,1813,497,D,3,12,4,15,69%,1830.2598877,1641,189.25988770000004,7,1,1,2,1,D,N
2016 - 2017,English Premier League,2017-05-01,Watford,Liverpool,False,1,1,4-3-3,12,8,2,0,0,24,9,0,5,1,0,1560,408,V,8,21,3,7,58%,1815.95959473,1622,193.95959472999994,8,1,1,0,0,V,V
2016 - 2017,English Premier League,2017-05-07,Liverpool,FC Southampton,True,0,0,4-3-3,17,8,0,1,0,21,9,1,3,1,0,1841,475,N,5,19,3,16,67%,1822.80273438,1694,128.80273437999995,6,0,0,0,0,N,N
2016 - 2017,English Premier League,2017-05-14,West Ham United,Liverpool,False,4,3,4-3-3,26,11,3,0,0,23,10,3,6,0,0,1808,513,V,5,7,6,24,63%,1817.51379395,1671,146.51379395000004,7,4,1,0,0,V,V
2016 - 2017,English Premier League,2017-05-21,Liverpool,Middlesbrough,True,3,2,4-4-2,25,9,3,0,0,21,13,1,3,0,0,2158,649,V,2,14,6,8,67%,1829.69250488,1560,269.6925048799999,7,3,1,0,0,V,V
