Saison,Joueur,Equipe,Prix
2017/2018,Virgil van Dijk,Southampton,€84.65m
2017/2018,Mohamed Salah,AS Roma,€42.00m
2017/2018,Alex Oxlade-Chamberlain,Arsenal,€38.00m
2017/2018,Andrew Robertson,Hull City,€9.00m
2017/2018,Tony Gallacher,Falkirk FC,€228Th.
2017/2018,Dominic Solanke,Chelsea U23,Free transfer
2017/2018,Connor Randall,Heart of Midl.,End of loan
2017/2018,Sheyi Ojo,Fulham,End of loan
2017/2018,Marko Grujic,Cardiff,End of loan
2017/2018,Daniel Sturridge,West Brom,End of loan
2017/2018,Ovie Ejaria,Sunderland,End of loan
2017/2018,Jon Flanagan,Bolton,End of loan
