date_match,contests,home_team,home_score,away_score,away_team,liverpool_score,at_anfield,season,rest_days
2018-07-22,International Champions Cup,Liverpool - England ,1,3,Borussia,D,True,2017 - 2018,3
2018-07-26,International Champions Cup,Manchester City - England ,1,2,Liverpool,V,False,2017 - 2018,4
2018-07-28,International Champions Cup,Manchester United - England ,1,4,Liverpool,V,False,2017 - 2018,2
