Date,Comp,Venue,Result,GF,GA,Opponent,Attendance
2017-08-12,Premier League,Away,D,3,3,Watford,20407
2017-08-15,Champions Lg,Away,W,2,1,de Hoffenheim,25568
2017-08-19,Premier League,Home,W,1,0,Crystal Palace,53138
2017-08-23,Champions Lg,Home,W,4,2,de Hoffenheim,51808
2017-08-27,Premier League,Home,W,4,0,Arsenal,53206
2017-09-09,Premier League,Away,L,0,5,Manchester City,54172
2017-09-13,Champions Lg,Home,D,2,2,es Sevilla,52332
2017-09-16,Premier League,Home,D,1,1,Burnley,53231
2017-09-19,EFL Cup,Away,L,0,2,Leicester City,31609
2017-09-23,Premier League,Away,W,3,2,Leicester City,32004
2017-09-26,Champions Lg,Away,D,1,1,ru Spartak Moscow,43376
2017-10-01,Premier League,Away,D,1,1,Newcastle Utd,52303
2017-10-14,Premier League,Home,D,0,0,Manchester Utd,52912
2017-10-17,Champions Lg,Away,W,7,0,si NK Maribor,12506
2017-10-22,Premier League,Away,L,1,4,Tottenham,80827
2017-10-28,Premier League,Home,W,3,0,Huddersfield,53268
2017-11-01,Champions Lg,Home,W,3,0,si NK Maribor,47957
2017-11-04,Premier League,Away,W,4,1,West Ham,56961
2017-11-18,Premier League,Home,W,3,0,Southampton,53256
2017-11-21,Champions Lg,Away,D,3,3,es Sevilla,39495
2017-11-25,Premier League,Home,D,1,1,Chelsea,53225
2017-11-29,Premier League,Away,W,3,0,Stoke City,29423
2017-12-02,Premier League,Away,W,5,1,Brighton,30634
2017-12-06,Champions Lg,Home,W,7,0,ru Spartak Moscow,48779
2017-12-10,Premier League,Home,D,1,1,Everton,53082
2017-12-13,Premier League,Home,D,0,0,West Brom,53243
2017-12-17,Premier League,Away,W,4,0,Bournemouth,10780
2017-12-22,Premier League,Away,D,3,3,Arsenal,59409
2017-12-26,Premier League,Home,W,5,0,Swansea City,52850
2017-12-30,Premier League,Home,W,2,1,Leicester City,53226
2018-01-01,Premier League,Away,W,2,1,Burnley,21756
2018-01-05,FA Cup,Home,W,2,1,Everton,52513
2018-01-14,Premier League,Home,W,4,3,Manchester City,53285
2018-01-22,Premier League,Away,L,0,1,Swansea City,20886
2018-01-27,FA Cup,Home,L,2,3,West Brom,53342
2018-01-30,Premier League,Away,W,3,0,Huddersfield,24121
2018-02-04,Premier League,Home,D,2,2,Tottenham,53213
2018-02-11,Premier League,Away,W,2,0,Southampton,31915
2018-02-14,Champions Lg,Away,W,5,0,pt Porto,47718
2018-02-24,Premier League,Home,W,4,1,West Ham,53256
2018-03-03,Premier League,Home,W,2,0,Newcastle Utd,53287
2018-03-06,Champions Lg,Home,D,0,0,pt Porto,48768
2018-03-10,Premier League,Away,L,1,2,Manchester Utd,74855
2018-03-17,Premier League,Home,W,5,0,Watford,53287
2018-03-31,Premier League,Away,W,2,1,Crystal Palace,25807
2018-04-04,Champions Lg,Home,W,3,0,eng Manchester City,50685
2018-04-07,Premier League,Away,D,0,0,Everton,39220
2018-04-10,Champions Lg,Away,W,2,1,eng Manchester City,53461
2018-04-14,Premier League,Home,W,3,0,Bournemouth,52959
2018-04-21,Premier League,Away,D,2,2,West Brom,24520
2018-04-24,Champions Lg,Home,W,5,2,it Roma,51236
2018-04-28,Premier League,Home,D,0,0,Stoke City,53255
2018-05-02,Champions Lg,Away,L,2,4,it Roma,61889
2018-05-06,Premier League,Away,L,0,1,Chelsea,41314
2018-05-13,Premier League,Home,W,4,0,Brighton,50752
2018-05-26,Champions Lg,Neutral,L,1,3,es Real Madrid,61561
