Saison,Joueur,Equipe,Prix
2012/2013,Joe Allen,Swansea,€19.00m
2012/2013,Daniel Sturridge,Chelsea,€15.00m
2012/2013,Fabio Borini,AS Roma,€13.30m
2012/2013,Philippe Coutinho,Inter,€13.00m
"2012/2013,Nuri Sahin,Real Madrid,""Loan fee:€5.00m"""
2012/2013,Oussama Assaidi,Heerenveen,€4.00m
2012/2013,Samed Yesil,Bay. Leverkusen,€1.30m
2012/2013,Andy Carroll,West Ham,End of loan
2012/2013,Jay Spearing,Bolton,End of loan
2012/2013,Danny Wilson,Heart of Midl.,End of loan
2012/2013,Jack Robinson,Wolves,End of loan
2012/2013,Jamie Stephens,Airbus UK BFC,End of loan
2012/2013,Danny Wilson,Bristol City,End of loan
2012/2013,Raheem Sterling,Liverpool U18,-
2012/2013,Suso,Liverpool U23,-
2012/2013,Kristoffer Peterson,Liverpool U18,-
2012/2013,Tom King,Liverpool U18,-
